elapsed_s,cpu_percent,memory_mb
0.000,0.0,2.14
0.101,0.0,2.14
0.202,0.0,2.14
0.303,0.0,2.14
0.404,0.0,2.14
0.505,0.0,2.14
0.606,0.0,2.14
0.707,0.0,2.14
0.808,0.0,2.14
0.909,0.0,2.14
1.009,0.0,2.14
1.109,0.0,2.14
1.210,0.0,2.14
1.310,0.0,2.14
1.411,0.0,2.14
1.512,0.0,2.14
1.613,0.0,2.14
1.713,0.0,2.14
1.814,0.0,2.14
1.914,0.0,2.14
2.014,0.0,2.14
2.115,0.0,2.14
2.216,0.0,2.14
2.316,0.0,2.14
2.417,0.0,2.14
2.518,0.0,2.14
2.619,0.0,2.14
2.719,0.0,2.14
2.821,0.0,2.14
2.922,0.0,2.14
3.023,0.0,2.14
3.123,0.0,2.14
3.224,0.0,2.14
3.325,0.0,2.14
3.426,0.0,2.14
3.526,0.0,2.14
3.627,0.0,2.14
3.727,0.0,2.14
3.828,0.0,2.14
3.928,0.0,2.14
4.029,0.0,2.14
4.130,0.0,2.14
4.230,0.0,2.14
4.331,0.0,2.14
4.432,0.0,2.14
4.532,0.0,2.14
4.633,0.0,2.14
4.733,0.0,2.14
4.833,0.0,2.14
4.934,10.0,2.14
5.034,0.0,2.14
5.135,0.0,2.14
5.235,0.0,2.14
5.337,0.0,2.14
5.437,0.0,2.14
5.539,0.0,2.14
5.640,0.0,2.14
5.742,0.0,2.14
5.842,0.0,2.14
5.943,0.0,2.14
6.044,0.0,2.14
6.145,0.0,2.14
6.246,0.0,2.14
6.346,0.0,2.14
6.447,0.0,2.14
6.549,0.0,2.14
6.650,0.0,2.14
6.751,0.0,2.14
6.851,0.0,2.14
6.952,0.0,2.14
7.053,0.0,2.14
7.153,0.0,2.14
7.255,0.0,2.14
7.356,0.0,2.14
7.457,0.0,2.14
7.557,0.0,2.14
7.659,0.0,2.14
7.759,0.0,2.14
7.860,0.0,2.14
7.961,0.0,2.14
8.061,0.0,2.14
8.162,0.0,2.14
8.263,0.0,2.14
8.363,0.0,2.14
8.464,0.0,2.14
8.565,0.0,2.14
8.665,0.0,2.14
8.766,0.0,2.14
8.867,9.9,2.14
8.967,0.0,2.14
9.068,0.0,2.14
9.169,0.0,2.14
9.269,0.0,2.14
9.370,0.0,2.14
9.470,0.0,2.14
9.571,0.0,2.14
9.671,0.0,2.14
9.772,0.0,2.14
9.872,0.0,2.14
9.973,0.0,2.14
10.073,0.0,2.14
10.174,0.0,2.14
10.275,0.0,2.14
10.376,0.0,2.14
10.476,0.0,2.14
10.577,0.0,2.14
10.678,0.0,2.14
10.778,0.0,2.14
10.879,0.0,2.14
10.979,0.0,2.14
11.080,0.0,2.14
11.180,0.0,2.14
11.281,0.0,2.14
11.381,0.0,2.14
11.482,0.0,2.14
11.583,0.0,2.14
11.684,0.0,2.14
11.784,0.0,2.14
11.885,0.0,2.14
11.986,0.0,2.14
12.087,0.0,2.14
12.188,0.0,2.14
12.289,0.0,2.14
12.391,0.0,2.14
12.491,9.9,2.14
12.592,0.0,2.14
12.693,0.0,2.14
12.794,0.0,2.14
12.895,0.0,2.14
12.995,0.0,2.14
13.096,0.0,2.14
13.197,0.0,2.14
13.298,0.0,2.14
13.398,0.0,2.14
13.499,0.0,2.14
13.600,0.0,2.14
13.701,0.0,2.14
13.802,0.0,2.14
13.904,0.0,2.14
14.005,0.0,2.14
14.106,0.0,2.14
14.207,0.0,2.14
14.308,0.0,2.14
14.410,0.0,2.14
14.511,0.0,2.14
14.612,0.0,2.14
14.712,0.0,2.14
14.813,0.0,2.14
14.914,0.0,2.14
15.015,0.0,2.14
15.116,0.0,2.14
15.216,0.0,2.14
15.316,0.0,2.14
15.417,0.0,2.14
15.518,0.0,2.14
15.619,0.0,2.14
15.719,0.0,2.14
15.821,0.0,2.14
15.922,0.0,2.14
16.023,0.0,2.14
16.124,0.0,2.14
16.226,9.9,2.14
16.327,0.0,2.14
16.428,0.0,2.14
16.529,0.0,2.14
16.630,0.0,2.14
16.731,0.0,2.14
16.832,0.0,2.14
16.932,0.0,2.14
17.033,0.0,2.14
17.134,0.0,2.14
17.234,0.0,2.14
17.335,0.0,2.14
17.436,0.0,2.14
17.537,0.0,2.14
17.637,0.0,2.14
17.738,0.0,2.14
17.839,0.0,2.14
17.940,0.0,2.14
18.040,0.0,2.14
18.141,0.0,2.14
18.242,0.0,2.14
18.343,0.0,2.14
18.444,0.0,2.14
18.544,0.0,2.14
18.645,0.0,2.14
18.746,0.0,2.14
18.846,0.0,2.14
18.947,0.0,2.14
19.048,0.0,2.14
19.148,0.0,2.14
19.249,0.0,2.14
19.350,0.0,2.14
19.450,0.0,2.14
19.551,0.0,2.14
19.652,0.0,2.14
19.752,0.0,2.14
19.854,0.0,2.14
19.955,0.0,2.14
20.056,0.0,2.14
20.157,0.0,2.14
20.258,0.0,2.14
20.359,0.0,2.14
20.460,0.0,2.14
20.561,0.0,2.14
20.662,0.0,2.14
20.762,0.0,2.14
20.863,9.9,2.14
20.964,0.0,2.14
21.066,0.0,2.14
21.167,0.0,2.14
21.267,0.0,2.14
21.368,0.0,2.14
21.469,0.0,2.14
21.570,0.0,2.14
21.671,9.9,2.14
21.772,0.0,2.14
21.873,0.0,2.14
21.974,0.0,2.14
22.076,0.0,2.14
22.176,0.0,2.14
22.277,0.0,2.14
22.378,0.0,2.14
22.479,0.0,2.14
22.580,0.0,2.14
22.681,0.0,2.14
22.782,0.0,2.14
22.883,0.0,2.14
22.984,0.0,2.14
23.085,0.0,2.14
23.186,0.0,2.14
23.287,0.0,2.14
23.389,0.0,2.14
23.490,0.0,2.14
23.591,0.0,2.14
23.692,0.0,2.14
23.794,0.0,2.14
23.895,0.0,2.14
23.996,0.0,2.14
24.097,0.0,2.14
24.199,0.0,2.14
24.299,0.0,2.14
24.400,0.0,2.14
24.501,0.0,2.14
24.602,0.0,2.14
24.703,0.0,2.14
24.803,0.0,2.14
24.905,0.0,2.14
25.006,0.0,2.14
25.107,0.0,2.14
25.208,0.0,2.14
25.309,0.0,2.14
25.409,0.0,2.14
25.510,0.0,2.14
25.610,0.0,2.14
25.711,0.0,2.14
25.811,0.0,2.14
25.912,0.0,2.14
26.012,0.0,2.14
26.113,9.9,2.14
26.214,0.0,2.14
26.314,0.0,2.14
26.415,0.0,2.14
26.516,0.0,2.14
26.617,0.0,2.14
26.718,0.0,2.14
26.818,0.0,2.14
26.919,0.0,2.14
27.019,0.0,2.14
27.120,0.0,2.14
27.222,0.0,2.14
27.323,0.0,2.14
27.424,0.0,2.14
27.525,0.0,2.14
27.626,0.0,2.14
27.727,0.0,2.14
27.827,0.0,2.14
27.928,0.0,2.14
28.029,0.0,2.14
28.129,0.0,2.14
28.231,0.0,2.14
28.332,0.0,2.14
28.433,0.0,2.14
28.534,0.0,2.14
28.635,0.0,2.14
28.736,0.0,2.14
28.837,0.0,2.14
28.939,0.0,2.14
29.040,0.0,2.14
29.141,0.0,2.14
29.242,0.0,2.14
29.343,0.0,2.14
29.444,0.0,2.14
29.544,0.0,2.14
29.645,0.0,2.14
29.746,0.0,2.14
29.847,0.0,2.14
29.947,0.0,2.14
30.048,0.0,2.14
30.149,0.0,2.14
30.249,0.0,2.14
30.350,9.9,2.14
30.451,0.0,2.14
30.551,0.0,2.14
30.653,0.0,2.14
30.755,0.0,2.14
30.856,0.0,2.14
30.958,0.0,2.14
31.059,0.0,2.14
31.159,0.0,2.14
31.260,0.0,2.14
31.361,0.0,2.14
31.462,0.0,2.14
31.562,0.0,2.14
31.663,0.0,2.14
31.763,0.0,2.14
31.864,0.0,2.14
31.964,0.0,2.14
32.065,0.0,2.14
32.166,0.0,2.14
32.266,0.0,2.14
32.366,0.0,2.14
32.467,0.0,2.14
32.567,0.0,2.14
32.668,0.0,2.14
32.769,0.0,2.14
32.869,0.0,2.14
32.970,0.0,2.14
33.071,0.0,2.14
33.171,0.0,2.14
33.272,9.9,2.14
33.372,0.0,2.14
33.473,0.0,2.14
33.574,0.0,2.14
33.675,0.0,2.14
33.775,0.0,2.14
33.876,0.0,2.14
33.977,0.0,2.14
34.077,0.0,2.14
34.178,0.0,2.14
34.279,0.0,2.14
34.380,0.0,2.14
34.480,0.0,2.14
34.581,0.0,2.14
34.682,0.0,2.14
34.782,0.0,2.14
34.883,10.0,2.14
34.984,0.0,2.14
35.084,0.0,2.14
35.185,0.0,2.14
35.286,0.0,2.14
35.388,0.0,2.14
35.489,0.0,2.14
35.590,0.0,2.14
35.691,0.0,2.14
35.792,0.0,2.14
35.893,0.0,2.14
35.995,0.0,2.14
36.096,0.0,2.14
36.196,0.0,2.14
36.297,0.0,2.14
36.398,0.0,2.14
36.500,0.0,2.14
36.601,0.0,2.14
36.701,0.0,2.14
36.802,0.0,2.14
36.903,0.0,2.14
37.004,0.0,2.14
37.105,0.0,2.14
37.206,0.0,2.14
37.307,0.0,2.14
37.408,0.0,2.14
37.509,0.0,2.14
37.609,0.0,2.14
37.711,0.0,2.14
37.812,0.0,2.14
37.913,0.0,2.14
38.014,0.0,2.14
38.115,0.0,2.14
38.216,0.0,2.14
38.317,0.0,2.14
38.418,0.0,2.14
38.520,0.0,2.14
38.621,0.0,2.14
38.723,0.0,2.14
38.823,0.0,2.14
38.924,0.0,2.14
39.026,0.0,2.14
39.127,9.9,2.14
39.228,0.0,2.14
39.329,0.0,2.14
39.430,0.0,2.14
39.531,0.0,2.14
39.632,0.0,2.14
39.733,0.0,2.14
39.834,0.0,2.14
39.935,0.0,2.14
40.036,0.0,2.14
40.138,0.0,2.14
40.238,0.0,2.14
40.340,0.0,2.14
40.441,0.0,2.14
40.543,0.0,2.14
40.644,0.0,2.14
40.745,0.0,2.14
40.845,0.0,2.14
40.946,0.0,2.14
41.046,0.0,2.14
41.147,0.0,2.14
41.247,0.0,2.14
41.348,0.0,2.14
41.449,0.0,2.14
41.549,0.0,2.14
41.650,0.0,2.14
41.750,0.0,2.14
41.851,0.0,2.14
41.951,0.0,2.14
42.052,0.0,2.14
42.153,0.0,2.14
42.255,0.0,2.14
42.356,0.0,2.14
42.457,0.0,2.14
42.558,0.0,2.14
42.659,0.0,2.14
42.759,0.0,2.14
42.861,9.9,2.14
42.961,0.0,2.14
43.063,0.0,2.14
43.164,0.0,2.14
43.265,0.0,2.14
43.366,0.0,2.14
43.467,0.0,2.14
43.568,0.0,2.14
43.669,0.0,2.14
43.769,0.0,2.14
43.870,0.0,2.14
43.971,0.0,2.14
44.072,0.0,2.14
44.173,0.0,2.14
44.274,0.0,2.14
44.374,0.0,2.14
44.475,0.0,2.14
44.577,0.0,2.14
44.677,0.0,2.14
44.778,0.0,2.14
44.878,0.0,2.14
44.979,0.0,2.14
45.080,0.0,2.14
45.181,0.0,2.14
45.281,0.0,2.14
45.382,0.0,2.14
45.483,0.0,2.14
45.584,0.0,2.14
45.685,0.0,2.14
45.785,0.0,2.14
45.886,0.0,2.14
45.987,0.0,2.14
46.087,0.0,2.14
46.189,0.0,2.14
46.290,0.0,2.14
46.391,0.0,2.14
46.493,0.0,2.14
46.594,0.0,2.14
46.695,9.9,2.14
46.797,0.0,2.14
46.898,0.0,2.14
46.999,0.0,2.14
47.099,0.0,2.14
47.201,0.0,2.14
47.302,0.0,2.14
47.402,0.0,2.14
47.503,0.0,2.14
47.604,0.0,2.14
47.705,0.0,2.14
47.807,0.0,2.14
47.908,0.0,2.14
48.010,0.0,2.14
48.111,0.0,2.14
48.212,0.0,2.14
48.314,0.0,2.14
48.415,0.0,2.14
48.516,0.0,2.14
48.617,0.0,2.14
48.718,0.0,2.14
48.819,0.0,2.14
48.920,0.0,2.14
49.022,0.0,2.14
49.123,0.0,2.14
49.225,0.0,2.14
49.326,0.0,2.14
49.427,0.0,2.14
49.528,0.0,2.14
49.630,0.0,2.14
49.731,0.0,2.14
49.832,0.0,2.14
49.933,0.0,2.14
50.034,0.0,2.14
50.135,0.0,2.14
50.236,0.0,2.14
50.337,9.9,2.14
50.437,0.0,2.14
50.539,0.0,2.14
50.640,0.0,2.14
50.741,0.0,2.14
50.841,0.0,2.14
50.942,9.9,2.14
51.043,0.0,2.14
51.143,0.0,2.14
