seq,latency_ns,latency_ms
1,2086800,2.0868
2,2657300,2.6573
3,1034800,1.0348
4,646400,0.6464
5,226000,0.226
6,524300,0.5243
7,325400,0.3254
8,336600,0.3366
9,1024200,1.0242
10,594000,0.594
11,586300,0.5863
12,686000,0.686
13,477500,0.4775
14,1044200,1.0442
15,430800,0.4308
16,767500,0.7675
17,479600,0.4796
18,446600,0.4466
19,786300,0.7863
20,741400,0.7414
21,584600,0.5846
22,1101600,1.1016
23,234700,0.2347
24,318800,0.3188
25,433400,0.4334
26,710300,0.7103
27,1087500,1.0875
28,862100,0.8621
29,191400,0.1914
30,643400,0.6434
31,531500,0.5315
32,505100,0.5051
33,771100,0.7711
34,266700,0.2667
35,730700,0.7307
36,580800,0.5808
37,909200,0.9092
38,648500,0.6485
39,938400,0.9384
40,612600,0.6126
41,343700,0.3437
42,571600,0.5716
43,748200,0.7482
44,834000,0.834
45,773900,0.7739
46,440800,0.4408
47,533700,0.5337
48,625300,0.6253
49,397200,0.3972
50,711900,0.7119
51,531700,0.5317
52,724300,0.7243
53,732700,0.7327
54,726100,0.7261
55,634200,0.6342
56,770200,0.7702
57,514900,0.5149
58,515400,0.5154
59,734400,0.7344
60,641000,0.641
61,717200,0.7172
62,1123200,1.1232
63,692800,0.6928
64,325300,0.3253
65,821300,0.8213
66,760300,0.7603
67,1120000,1.12
68,516800,0.5168
69,791200,0.7912
70,712600,0.7126
71,529200,0.5292
72,231200,0.2312
73,439900,0.4399
74,205200,0.2052
75,284600,0.2846
76,1018500,1.0185
77,995500,0.9955
78,450100,0.4501
79,915900,0.9159
80,634000,0.634
81,922000,0.922
82,706600,0.7066
83,636400,0.6364
84,372700,0.3727
85,415900,0.4159
86,734800,0.7348
87,497400,0.4974
88,660500,0.6605
89,428100,0.4281
90,892000,0.892
91,978500,0.9785
92,558900,0.5589
93,213200,0.2132
94,562200,0.5622
95,294600,0.2946
96,348600,0.3486
97,403300,0.4033
98,517700,0.5177
99,667800,0.6678
100,409700,0.4097
101,1030900,1.0309
102,557500,0.5575
103,479700,0.4797
104,350300,0.3503
105,441300,0.4413
106,475100,0.4751
107,528200,0.5282
108,827300,0.8273
109,606400,0.6064
110,597000,0.597
111,494100,0.4941
112,615600,0.6156
113,624800,0.6248
114,724400,0.7244
115,1198200,1.1982
116,669200,0.6692
117,349400,0.3494
118,1105100,1.1051
119,922700,0.9227
120,702300,0.7023
121,733100,0.7331
122,773400,0.7734
123,516700,0.5167
124,648100,0.6481
125,294700,0.2947
126,703800,0.7038
127,369800,0.3698
128,664500,0.6645
129,649900,0.6499
130,560600,0.5606
131,779400,0.7794
132,1096300,1.0963
133,682300,0.6823
134,164800,0.1648
135,549800,0.5498
136,721400,0.7214
137,614200,0.6142
138,700000,0.7
139,467700,0.4677
140,633600,0.6336
141,951700,0.9517
142,969700,0.9697
143,644500,0.6445
144,245600,0.2456
145,775900,0.7759
146,694700,0.6947
147,477200,0.4772
148,526500,0.5265
149,674500,0.6745
150,733700,0.7337
151,713500,0.7135
152,424500,0.4245
153,674900,0.6749
154,542100,0.5421
155,593000,0.593
156,748200,0.7482
157,604200,0.6042
158,619500,0.6195
159,940800,0.9408
160,683800,0.6838
161,524000,0.524
162,596400,0.5964
163,681900,0.6819
164,701600,0.7016
165,285500,0.2855
166,607200,0.6072
167,586300,0.5863
168,624000,0.624
169,767900,0.7679
170,397100,0.3971
171,647200,0.6472
172,501000,0.501
173,572200,0.5722
174,312700,0.3127
175,1066200,1.0662
176,756900,0.7569
177,369400,0.3694
178,667800,0.6678
179,739600,0.7396
180,417200,0.4172
181,668500,0.6685
182,502600,0.5026
183,212200,0.2122
184,455100,0.4551
185,550400,0.5504
186,126500,0.1265
187,242000,0.242
188,472600,0.4726
189,603600,0.6036
190,189700,0.1897
191,512400,0.5124
192,304200,0.3042
193,477300,0.4773
194,451800,0.4518
195,659100,0.6591
196,672800,0.6728
197,686400,0.6864
198,693100,0.6931
199,597700,0.5977
200,730200,0.7302
201,471100,0.4711
202,518200,0.5182
203,490000,0.49
204,589600,0.5896
205,375500,0.3755
206,452600,0.4526
207,487400,0.4874
208,679100,0.6791
209,489000,0.489
210,695800,0.6958
211,552300,0.5523
212,503000,0.503
213,802800,0.8028
214,231500,0.2315
215,512200,0.5122
216,849500,0.8495
217,689800,0.6898
218,724600,0.7246
219,474000,0.474
220,1101300,1.1013
221,572500,0.5725
222,525300,0.5253
223,448400,0.4484
224,542500,0.5425
225,947300,0.9473
226,560400,0.5604
227,833300,0.8333
228,220300,0.2203
229,616700,0.6167
230,751900,0.7519
231,1529600,1.5296
232,612500,0.6125
233,796700,0.7967
234,594700,0.5947
235,717500,0.7175
236,506300,0.5063
237,647800,0.6478
238,634600,0.6346
239,637200,0.6372
240,776100,0.7761
241,537300,0.5373
242,727800,0.7278
243,900900,0.9009
244,275800,0.2758
245,808700,0.8087
246,668900,0.6689
247,835200,0.8352
248,768100,0.7681
249,802200,0.8022
250,322100,0.3221
251,597700,0.5977
252,855700,0.8557
253,154300,0.1543
254,573800,0.5738
255,818800,0.8188
256,508700,0.5087
257,1008800,1.0088
258,394200,0.3942
259,504800,0.5048
260,576100,0.5761
261,1067200,1.0672
262,670400,0.6704
263,558800,0.5588
264,833600,0.8336
265,572700,0.5727
266,657400,0.6574
267,810600,0.8106
268,661900,0.6619
269,637600,0.6376
270,541600,0.5416
271,514200,0.5142
272,932500,0.9325
273,528400,0.5284
274,536600,0.5366
275,745500,0.7455
