seq,latency_ns,latency_ms
1,1096500,1.0965
2,2424900,2.4249
3,201000,0.201
4,162900,0.1629
5,208100,0.2081
6,206900,0.2069
7,130600,0.1306
8,70600,0.0706
9,84800,0.0848
10,113300,0.1133
11,111200,0.1112
12,124900,0.1249
13,125400,0.1254
14,147100,0.1471
15,174300,0.1743
16,226800,0.2268
17,510400,0.5104
18,698500,0.6985
19,149100,0.1491
20,324500,0.3245
21,361100,0.3611
22,461800,0.4618
23,509800,0.5098
24,491100,0.4911
25,417500,0.4175
26,432300,0.4323
27,462000,0.462
28,532700,0.5327
29,915300,0.9153
30,705100,0.7051
31,712500,0.7125
32,637000,0.637
33,267700,0.2677
34,284700,0.2847
35,357400,0.3574
36,194400,0.1944
37,279100,0.2791
38,272600,0.2726
39,354100,0.3541
40,261800,0.2618
41,535700,0.5357
42,375600,0.3756
43,544800,0.5448
44,578000,0.578
45,474200,0.4742
46,506900,0.5069
47,660400,0.6604
48,509300,0.5093
49,312000,0.312
50,438800,0.4388
51,525100,0.5251
52,641200,0.6412
53,395800,0.3958
54,435400,0.4354
55,439800,0.4398
56,534600,0.5346
57,465600,0.4656
58,476800,0.4768
59,1156000,1.156
60,567500,0.5675
61,556000,0.556
62,1105000,1.105
63,650900,0.6509
64,290500,0.2905
65,262900,0.2629
66,294000,0.294
67,248300,0.2483
68,252100,0.2521
69,464600,0.4646
70,295900,0.2959
71,206200,0.2062
72,192200,0.1922
73,188200,0.1882
74,110200,0.1102
75,276500,0.2765
76,281800,0.2818
77,249300,0.2493
78,230100,0.2301
79,247100,0.2471
80,235800,0.2358
81,279100,0.2791
82,195100,0.1951
83,282900,0.2829
84,331500,0.3315
85,217700,0.2177
86,188800,0.1888
87,167700,0.1677
88,231100,0.2311
89,479500,0.4795
90,755700,0.7557
91,432100,0.4321
92,562600,0.5626
93,507200,0.5072
94,515100,0.5151
95,316900,0.3169
96,447400,0.4474
97,483400,0.4834
98,469900,0.4699
99,268700,0.2687
100,467200,0.4672
101,324400,0.3244
102,606400,0.6064
103,619000,0.619
104,867600,0.8676
105,728800,0.7288
106,367600,0.3676
107,431800,0.4318
108,733000,0.733
109,494400,0.4944
110,551300,0.5513
111,540800,0.5408
112,551500,0.5515
113,508800,0.5088
114,376300,0.3763
115,362500,0.3625
116,272500,0.2725
117,229600,0.2296
118,193800,0.1938
119,355900,0.3559
120,207100,0.2071
121,208400,0.2084
122,211900,0.2119
123,124800,0.1248
124,223100,0.2231
125,207800,0.2078
126,197000,0.197
127,177600,0.1776
128,218700,0.2187
129,224000,0.224
130,252000,0.252
131,222000,0.222
132,220600,0.2206
133,346100,0.3461
134,321100,0.3211
135,177600,0.1776
136,231400,0.2314
137,197100,0.1971
138,234600,0.2346
139,246800,0.2468
140,205300,0.2053
141,323800,0.3238
142,263400,0.2634
143,242300,0.2423
144,275000,0.275
145,242300,0.2423
146,1082800,1.0828
147,214200,0.2142
148,196400,0.1964
149,212200,0.2122
150,237200,0.2372
151,442200,0.4422
152,255600,0.2556
153,337200,0.3372
154,285300,0.2853
155,409500,0.4095
156,307200,0.3072
157,373600,0.3736
158,282500,0.2825
159,282000,0.282
160,333200,0.3332
161,357600,0.3576
162,409400,0.4094
163,475000,0.475
164,642500,0.6425
165,375700,0.3757
166,197300,0.1973
167,238400,0.2384
168,490600,0.4906
169,640500,0.6405
170,222100,0.2221
171,221600,0.2216
172,282500,0.2825
173,284400,0.2844
174,141000,0.141
175,194000,0.194
176,252800,0.2528
177,245800,0.2458
178,199300,0.1993
179,71300,0.0713
180,244700,0.2447
181,202900,0.2029
182,177000,0.177
183,234700,0.2347
184,157100,0.1571
185,356100,0.3561
186,258200,0.2582
187,117000,0.117
188,247100,0.2471
189,275300,0.2753
190,589100,0.5891
191,295100,0.2951
192,303800,0.3038
193,466800,0.4668
194,472100,0.4721
195,394100,0.3941
196,643100,0.6431
197,783900,0.7839
198,383100,0.3831
199,344200,0.3442
200,420700,0.4207
201,301400,0.3014
202,251700,0.2517
203,636700,0.6367
204,649200,0.6492
205,285400,0.2854
206,260000,0.26
207,120400,0.1204
208,538100,0.5381
209,981400,0.9814
210,653400,0.6534
211,140300,0.1403
212,120300,0.1203
213,95400,0.0954
214,131900,0.1319
215,120400,0.1204
216,67000,0.067
217,51100,0.0511
218,62100,0.0621
219,52700,0.0527
220,82600,0.0826
221,813600,0.8136
222,159300,0.1593
223,281300,0.2813
224,261000,0.261
225,223400,0.2234
226,360800,0.3608
227,328200,0.3282
228,527700,0.5277
229,394600,0.3946
230,366400,0.3664
231,444700,0.4447
232,557600,0.5576
233,383100,0.3831
234,627300,0.6273
235,669600,0.6696
236,604200,0.6042
237,648000,0.648
238,544600,0.5446
239,612300,0.6123
240,490600,0.4906
241,595200,0.5952
242,527200,0.5272
243,449400,0.4494
244,626700,0.6267
245,285900,0.2859
246,284400,0.2844
247,451700,0.4517
248,474800,0.4748
249,263400,0.2634
