elapsed_s,cpu_percent,memory_mb
0.000,0.0,2.11
0.101,0.0,2.11
0.202,0.0,2.11
0.303,0.0,2.11
0.403,0.0,2.11
0.505,0.0,2.11
0.605,0.0,2.11
0.706,0.0,2.11
0.806,0.0,2.11
0.907,0.0,2.11
1.008,0.0,2.11
1.109,0.0,2.11
1.211,0.0,2.11
1.312,0.0,2.11
1.412,0.0,2.11
1.513,0.0,2.11
1.614,0.0,2.11
1.714,0.0,2.11
1.815,0.0,2.11
1.916,0.0,2.11
2.017,0.0,2.11
2.118,0.0,2.11
2.219,0.0,2.11
2.320,0.0,2.11
2.421,0.0,2.11
2.523,0.0,2.11
2.624,0.0,2.11
2.725,0.0,2.11
2.827,0.0,2.11
2.928,0.0,2.11
3.029,0.0,2.11
3.129,0.0,2.11
3.230,0.0,2.11
3.331,0.0,2.11
3.431,0.0,2.11
3.532,0.0,2.11
3.632,0.0,2.11
3.734,0.0,2.11
3.835,0.0,2.11
3.936,0.0,2.11
4.036,0.0,2.11
4.138,0.0,2.11
4.239,0.0,2.11
4.339,0.0,2.11
4.440,0.0,2.11
4.540,0.0,2.11
4.642,0.0,2.11
4.743,0.0,2.11
4.844,0.0,2.11
4.945,0.0,2.11
5.046,0.0,2.11
5.147,0.0,2.11
5.248,0.0,2.11
5.349,0.0,2.11
5.450,0.0,2.11
5.551,0.0,2.11
5.651,0.0,2.11
5.754,0.0,2.11
5.855,0.0,2.11
5.956,0.0,2.11
6.056,0.0,2.11
6.157,0.0,2.11
6.258,0.0,2.11
6.359,0.0,2.11
6.460,0.0,2.11
6.561,0.0,2.11
6.662,0.0,2.11
6.763,0.0,2.11
6.864,0.0,2.11
6.965,0.0,2.11
7.067,0.0,2.11
7.168,0.0,2.11
7.269,0.0,2.11
7.370,0.0,2.11
7.471,0.0,2.11
7.572,0.0,2.11
7.672,0.0,2.11
7.773,0.0,2.11
7.874,0.0,2.11
7.975,0.0,2.11
8.075,0.0,2.11
8.177,0.0,2.11
8.278,0.0,2.11
8.379,0.0,2.11
8.481,0.0,2.11
8.582,0.0,2.11
8.682,0.0,2.11
8.783,0.0,2.11
8.884,0.0,2.11
8.984,0.0,2.11
9.086,0.0,2.11
9.187,0.0,2.11
9.288,0.0,2.11
9.388,0.0,2.11
9.489,0.0,2.11
9.590,0.0,2.11
9.691,0.0,2.11
9.792,0.0,2.11
9.894,0.0,2.11
9.995,0.0,2.11
10.096,0.0,2.11
10.197,0.0,2.11
10.298,0.0,2.11
10.398,0.0,2.11
10.499,0.0,2.11
10.600,0.0,2.11
10.701,0.0,2.11
10.802,0.0,2.11
10.903,0.0,2.11
11.003,0.0,2.11
11.104,0.0,2.11
11.206,0.0,2.11
11.306,0.0,2.11
11.407,0.0,2.11
11.508,0.0,2.11
11.608,0.0,2.11
11.709,0.0,2.11
11.810,0.0,2.11
11.911,0.0,2.11
12.013,0.0,2.11
12.114,0.0,2.11
12.215,0.0,2.11
12.316,0.0,2.11
12.417,0.0,2.11
12.518,0.0,2.11
12.619,0.0,2.11
12.720,0.0,2.11
12.822,0.0,2.11
12.923,0.0,2.11
13.024,0.0,2.11
13.126,0.0,2.11
13.227,0.0,2.11
13.329,0.0,2.11
13.429,0.0,2.11
13.530,0.0,2.11
13.631,0.0,2.11
13.731,0.0,2.11
13.832,0.0,2.11
13.933,0.0,2.11
14.034,0.0,2.11
14.135,0.0,2.11
14.236,0.0,2.11
14.337,0.0,2.11
14.438,0.0,2.11
14.539,0.0,2.11
14.640,0.0,2.11
14.740,0.0,2.11
14.842,0.0,2.11
14.943,0.0,2.11
15.044,0.0,2.11
15.144,0.0,2.11
15.245,0.0,2.11
15.346,0.0,2.11
15.446,0.0,2.11
15.547,0.0,2.11
15.648,0.0,2.11
15.749,0.0,2.11
15.850,0.0,2.11
15.951,0.0,2.11
16.052,0.0,2.11
16.153,0.0,2.11
16.254,0.0,2.11
16.355,0.0,2.11
16.455,0.0,2.11
16.556,0.0,2.11
16.657,0.0,2.11
16.759,0.0,2.11
16.860,0.0,2.11
16.960,0.0,2.11
17.061,0.0,2.11
17.162,0.0,2.11
17.263,0.0,2.11
17.363,0.0,2.11
17.464,0.0,2.11
17.565,0.0,2.11
17.665,0.0,2.11
17.766,0.0,2.11
17.867,0.0,2.11
17.968,0.0,2.11
18.068,0.0,2.11
18.169,0.0,2.11
18.269,0.0,2.11
18.370,0.0,2.11
18.470,0.0,2.11
18.571,0.0,2.11
18.671,0.0,2.11
18.772,0.0,2.11
18.873,0.0,2.11
18.974,0.0,2.11
19.075,0.0,2.11
19.176,0.0,2.11
19.276,0.0,2.11
19.377,0.0,2.11
19.478,0.0,2.11
19.578,0.0,2.11
19.679,0.0,2.11
19.779,0.0,2.11
19.880,0.0,2.11
19.981,0.0,2.11
20.081,0.0,2.11
20.183,0.0,2.11
20.284,0.0,2.11
20.385,0.0,2.11
20.486,0.0,2.11
20.586,0.0,2.11
20.686,0.0,2.11
20.786,0.0,2.11
20.887,0.0,2.11
20.988,0.0,2.11
21.089,0.0,2.11
21.190,0.0,2.11
21.291,0.0,2.11
21.392,0.0,2.11
21.493,0.0,2.11
21.594,0.0,2.11
21.695,0.0,2.11
21.795,0.0,2.11
21.896,0.0,2.11
21.996,0.0,2.11
22.097,0.0,2.11
22.197,0.0,2.11
22.298,0.0,2.11
22.400,0.0,2.11
22.501,9.9,2.11
22.602,0.0,2.11
22.703,0.0,2.11
22.803,0.0,2.11
22.904,0.0,2.11
23.005,0.0,2.11
23.105,0.0,2.11
23.205,0.0,2.11
23.306,0.0,2.11
23.407,0.0,2.11
23.508,0.0,2.11
