seq,latency_ns,latency_ms
1,1026300,1.0263
2,5604900,5.6049
3,566100,0.5661
4,574500,0.5745
5,818500,0.8185
6,585100,0.5851
7,684000,0.684
8,748300,0.7483
9,494000,0.494
10,421400,0.4214
11,453300,0.4533
12,548900,0.5489
13,626200,0.6262
14,220600,0.2206
15,748800,0.7488
16,586700,0.5867
17,774100,0.7741
18,884300,0.8843
19,734900,0.7349
20,592900,0.5929
21,764600,0.7646
22,777000,0.777
23,1016200,1.0162
24,723800,0.7238
25,620300,0.6203
26,470100,0.4701
27,877000,0.877
28,552200,0.5522
29,577300,0.5773
30,589100,0.5891
31,927700,0.9277
32,616400,0.6164
33,735500,0.7355
34,1085500,1.0855
35,177600,0.1776
36,822400,0.8224
37,626200,0.6262
38,218600,0.2186
39,454500,0.4545
40,490100,0.4901
41,346200,0.3462
42,776700,0.7767
43,716700,0.7167
44,951700,0.9517
45,756900,0.7569
46,465100,0.4651
47,599300,0.5993
48,562100,0.5621
49,861700,0.8617
50,478800,0.4788
51,749500,0.7495
52,841700,0.8417
53,868700,0.8687
54,573800,0.5738
55,415900,0.4159
56,559500,0.5595
57,522300,0.5223
58,669900,0.6699
59,621400,0.6214
60,222800,0.2228
61,475900,0.4759
62,458700,0.4587
63,704400,0.7044
64,630200,0.6302
65,467200,0.4672
66,687300,0.6873
67,662100,0.6621
68,310700,0.3107
69,750000,0.75
70,582400,0.5824
71,410900,0.4109
72,710300,0.7103
73,641300,0.6413
74,686200,0.6862
75,858300,0.8583
76,583500,0.5835
77,737300,0.7373
78,697300,0.6973
79,577600,0.5776
80,558200,0.5582
81,618200,0.6182
82,738100,0.7381
83,586600,0.5866
84,111000,0.111
85,790200,0.7902
86,724600,0.7246
87,665900,0.6659
88,589100,0.5891
89,828500,0.8285
90,388100,0.3881
91,2073000,2.073
92,154700,0.1547
93,194800,0.1948
94,132200,0.1322
95,865900,0.8659
96,750900,0.7509
97,536700,0.5367
98,488900,0.4889
99,701600,0.7016
100,923300,0.9233
101,628900,0.6289
102,530600,0.5306
103,776700,0.7767
104,705900,0.7059
105,797300,0.7973
106,536500,0.5365
107,524800,0.5248
108,748800,0.7488
109,757000,0.757
110,441800,0.4418
111,489200,0.4892
112,468000,0.468
113,485100,0.4851
114,513000,0.513
115,579800,0.5798
116,424500,0.4245
117,623200,0.6232
118,220800,0.2208
119,355800,0.3558
120,561900,0.5619
121,532700,0.5327
122,746600,0.7466
123,368200,0.3682
124,881900,0.8819
125,613800,0.6138
126,883900,0.8839
127,707800,0.7078
128,663200,0.6632
129,754600,0.7546
130,717700,0.7177
131,438800,0.4388
132,985000,0.985
133,793800,0.7938
134,756000,0.756
135,677000,0.677
136,822100,0.8221
137,445000,0.445
138,436700,0.4367
139,717700,0.7177
140,282900,0.2829
141,613700,0.6137
142,566700,0.5667
143,1653900,1.6539
144,635700,0.6357
145,574200,0.5742
146,790500,0.7905
147,752900,0.7529
148,282800,0.2828
149,580200,0.5802
150,932600,0.9326
151,750300,0.7503
152,651700,0.6517
153,708300,0.7083
154,550700,0.5507
155,635200,0.6352
156,677000,0.677
157,876100,0.8761
158,460900,0.4609
159,875400,0.8754
160,840400,0.8404
161,618700,0.6187
162,560300,0.5603
163,652600,0.6526
164,723800,0.7238
165,271200,0.2712
166,564600,0.5646
167,641900,0.6419
168,689600,0.6896
169,951800,0.9518
170,935900,0.9359
171,1020500,1.0205
172,784100,0.7841
173,762600,0.7626
174,219400,0.2194
175,742900,0.7429
176,755300,0.7553
177,907500,0.9075
178,738900,0.7389
179,532000,0.532
180,866600,0.8666
181,704000,0.704
182,831200,0.8312
183,621400,0.6214
184,806100,0.8061
185,768900,0.7689
186,691600,0.6916
187,336400,0.3364
188,791100,0.7911
189,109500,0.1095
190,574500,0.5745
191,395500,0.3955
192,174100,0.1741
193,615100,0.6151
194,1106700,1.1067
195,632900,0.6329
196,540800,0.5408
197,467800,0.4678
198,372900,0.3729
199,593000,0.593
200,383000,0.383
201,381900,0.3819
202,516700,0.5167
203,430500,0.4305
204,1005200,1.0052
205,378200,0.3782
206,816100,0.8161
207,657000,0.657
208,689100,0.6891
209,695000,0.695
210,587500,0.5875
211,660500,0.6605
212,742800,0.7428
213,769400,0.7694
214,664200,0.6642
215,317700,0.3177
216,273300,0.2733
217,189100,0.1891
218,293100,0.2931
219,475200,0.4752
220,573900,0.5739
221,562000,0.562
222,964900,0.9649
223,622700,0.6227
224,712600,0.7126
225,1001100,1.0011
226,922700,0.9227
227,862200,0.8622
228,579700,0.5797
229,719500,0.7195
230,611800,0.6118
231,872300,0.8723
232,700900,0.7009
233,841000,0.841
234,544000,0.544
235,804100,0.8041
236,546800,0.5468
237,750300,0.7503
238,711000,0.711
239,449600,0.4496
240,941500,0.9415
241,835400,0.8354
242,740200,0.7402
243,669700,0.6697
244,621800,0.6218
245,592300,0.5923
246,534200,0.5342
247,928100,0.9281
248,614700,0.6147
249,783000,0.783
250,688900,0.6889
251,577000,0.577
252,664200,0.6642
253,367700,0.3677
254,673400,0.6734
255,580500,0.5805
256,453800,0.4538
257,508000,0.508
258,722600,0.7226
259,662900,0.6629
260,672000,0.672
261,675300,0.6753
262,840500,0.8405
263,693400,0.6934
264,658600,0.6586
265,736600,0.7366
266,746000,0.746
267,832500,0.8325
268,776100,0.7761
269,738500,0.7385
270,322600,0.3226
271,878800,0.8788
272,721500,0.7215
273,342500,0.3425
274,503400,0.5034
275,545300,0.5453
276,699600,0.6996
277,807400,0.8074
278,831300,0.8313
279,691000,0.691
280,694500,0.6945
281,560300,0.5603
282,836700,0.8367
283,325700,0.3257
284,890400,0.8904
285,816200,0.8162
286,693900,0.6939
287,679500,0.6795
288,315000,0.315
289,809600,0.8096
290,624500,0.6245
291,737800,0.7378
292,509400,0.5094
293,686200,0.6862
294,818200,0.8182
295,869600,0.8696
296,671000,0.671
297,494900,0.4949
298,231500,0.2315
299,429200,0.4292
300,823800,0.8238
301,964800,0.9648
302,374000,0.374
303,507700,0.5077
304,817900,0.8179
305,590900,0.5909
306,668700,0.6687
307,776400,0.7764
308,872100,0.8721
309,886000,0.886
310,531500,0.5315
311,843100,0.8431
312,823000,0.823
313,302800,0.3028
314,575000,0.575
315,806000,0.806
316,955800,0.9558
317,742200,0.7422
318,802700,0.8027
319,824200,0.8242
320,658000,0.658
321,581900,0.5819
322,798600,0.7986
323,827600,0.8276
324,414000,0.414
325,605400,0.6054
326,490600,0.4906
327,699000,0.699
328,587400,0.5874
329,866800,0.8668
330,273500,0.2735
331,558100,0.5581
332,656500,0.6565
333,489300,0.4893
334,479400,0.4794
335,529000,0.529
336,566900,0.5669
337,741700,0.7417
338,890300,0.8903
339,323800,0.3238
340,577100,0.5771
341,717600,0.7176
342,822500,0.8225
343,671800,0.6718
344,529700,0.5297
345,1004300,1.0043
346,841100,0.8411
347,909800,0.9098
348,687600,0.6876
349,479600,0.4796
350,571900,0.5719
351,880700,0.8807
352,855400,0.8554
353,735100,0.7351
354,575900,0.5759
355,3372900,3.3729
356,429100,0.4291
357,793400,0.7934
358,707000,0.707
359,843000,0.843
360,459900,0.4599
361,726500,0.7265
362,859300,0.8593
363,511300,0.5113
364,525700,0.5257
365,422600,0.4226
366,671400,0.6714
367,1781600,1.7816
368,684000,0.684
369,666500,0.6665
370,704600,0.7046
371,539500,0.5395
372,523900,0.5239
373,477900,0.4779
374,479800,0.4798
375,668300,0.6683
376,511000,0.511
377,509500,0.5095
378,787200,0.7872
379,407500,0.4075
380,666700,0.6667
381,680200,0.6802
382,926700,0.9267
383,547400,0.5474
384,1120300,1.1203
385,608600,0.6086
386,685500,0.6855
387,682000,0.682
388,309500,0.3095
389,517800,0.5178
390,174300,0.1743
391,578500,0.5785
392,729900,0.7299
393,244800,0.2448
394,533500,0.5335
395,580700,0.5807
396,596000,0.596
397,650300,0.6503
398,772700,0.7727
399,621800,0.6218
400,719800,0.7198
401,178200,0.1782
402,780500,0.7805
403,842400,0.8424
404,632100,0.6321
405,461400,0.4614
406,728600,0.7286
407,608700,0.6087
408,731900,0.7319
409,611800,0.6118
410,537000,0.537
411,602100,0.6021
412,463100,0.4631
413,259400,0.2594
414,608800,0.6088
415,935800,0.9358
416,576100,0.5761
417,362600,0.3626
418,554200,0.5542
419,902500,0.9025
420,878700,0.8787
421,628900,0.6289
422,250200,0.2502
423,607700,0.6077
424,590700,0.5907
425,389000,0.389
426,365700,0.3657
427,568800,0.5688
428,427500,0.4275
429,503600,0.5036
430,403200,0.4032
431,593500,0.5935
432,705700,0.7057
433,742500,0.7425
434,374900,0.3749
435,582700,0.5827
436,504900,0.5049
437,552400,0.5524
438,736500,0.7365
439,558800,0.5588
440,528700,0.5287
441,815300,0.8153
442,539700,0.5397
443,538300,0.5383
444,817000,0.817
445,687600,0.6876
446,725100,0.7251
447,538200,0.5382
448,521800,0.5218
449,657200,0.6572
450,759000,0.759
451,759300,0.7593
452,722200,0.7222
453,1017500,1.0175
454,852900,0.8529
455,849400,0.8494
456,855500,0.8555
457,646400,0.6464
458,752100,0.7521
459,704300,0.7043
460,759500,0.7595
461,328500,0.3285
462,522400,0.5224
463,622100,0.6221
464,777300,0.7773
465,713300,0.7133
466,596000,0.596
467,1220300,1.2203
468,784400,0.7844
469,704000,0.704
470,524800,0.5248
471,811500,0.8115
472,854000,0.854
473,752400,0.7524
474,521400,0.5214
475,681700,0.6817
476,629400,0.6294
477,522800,0.5228
478,729500,0.7295
479,601600,0.6016
480,643200,0.6432
481,513800,0.5138
482,791900,0.7919
483,695300,0.6953
484,728700,0.7287
485,695200,0.6952
486,765300,0.7653
487,549900,0.5499
488,469900,0.4699
