seq,latency_ns,latency_ms
1,2558608,2.5586
2,3101894,3.1019
3,248122,0.2481
4,113914,0.1139
5,127335,0.1273
6,142197,0.1422
7,145658,0.1457
8,156350,0.1563
9,160807,0.1608
10,129519,0.1295
11,65797,0.0658
12,58469,0.0585
13,62426,0.0624
14,152337,0.1523
15,72084,0.0721
16,84108,0.0841
17,80019,0.08
18,91531,0.0915
19,93208,0.0932
20,147687,0.1477
21,135893,0.1359
22,293196,0.2932
23,627978,0.628
24,782057,0.7821
25,329427,0.3294
26,256244,0.2562
27,239940,0.2399
28,147549,0.1475
29,221217,0.2212
30,222816,0.2228
31,225206,0.2252
32,278126,0.2781
33,247396,0.2474
34,313444,0.3134
35,317529,0.3175
36,239085,0.2391
37,200366,0.2004
38,172767,0.1728
39,230479,0.2305
40,122377,0.1224
41,82969,0.083
42,42170,0.0422
43,72612,0.0726
44,43673,0.0437
45,35289,0.0353
46,63259,0.0633
47,216032,0.216
48,88353,0.0884
49,68375,0.0684
50,71949,0.0719
51,65688,0.0657
52,83240,0.0832
53,78342,0.0783
54,94997,0.095
55,79409,0.0794
56,89317,0.0893
57,79738,0.0797
58,74454,0.0745
59,88190,0.0882
60,74102,0.0741
61,76175,0.0762
62,310519,0.3105
63,228235,0.2282
64,264326,0.2643
65,248434,0.2484
66,95336,0.0953
67,87628,0.0876
68,86139,0.0861
69,93571,0.0936
70,111136,0.1111
71,74826,0.0748
72,94062,0.0941
73,102904,0.1029
74,88302,0.0883
75,122697,0.1227
76,230809,0.2308
77,169389,0.1694
78,116293,0.1163
79,49687,0.0497
80,131681,0.1317
81,80385,0.0804
82,87840,0.0878
83,72601,0.0726
84,75606,0.0756
85,72179,0.0722
86,69756,0.0698
87,96585,0.0966
88,42106,0.0421
89,268776,0.2688
90,316506,0.3165
91,220977,0.221
92,107466,0.1075
93,106907,0.1069
94,74594,0.0746
95,78544,0.0785
96,76183,0.0762
97,113897,0.1139
98,138203,0.1382
99,114820,0.1148
100,94625,0.0946
101,78575,0.0786
102,82179,0.0822
103,118629,0.1186
104,111292,0.1113
105,90072,0.0901
106,125831,0.1258
107,198037,0.198
108,144411,0.1444
109,108784,0.1088
110,115183,0.1152
111,127385,0.1274
112,122387,0.1224
113,134116,0.1341
114,132377,0.1324
115,137684,0.1377
116,103748,0.1037
117,391852,0.3919
118,143369,0.1434
119,297723,0.2977
120,186174,0.1862
121,120679,0.1207
122,292905,0.2929
123,291254,0.2913
124,288759,0.2888
125,317972,0.318
126,332897,0.3329
127,350222,0.3502
128,343791,0.3438
129,334298,0.3343
130,156783,0.1568
131,187889,0.1879
132,179246,0.1792
133,193212,0.1932
134,226486,0.2265
135,299886,0.2999
136,169716,0.1697
137,288071,0.2881
138,241026,0.241
139,279151,0.2792
140,263026,0.263
141,207909,0.2079
142,279426,0.2794
143,230136,0.2301
144,318935,0.3189
145,338027,0.338
146,304591,0.3046
147,274034,0.274
148,334744,0.3347
149,201535,0.2015
150,199208,0.1992
151,229818,0.2298
152,111594,0.1116
153,191316,0.1913
154,425698,0.4257
155,440003,0.44
156,249337,0.2493
157,264918,0.2649
158,232135,0.2321
159,247024,0.247
160,237588,0.2376
161,230929,0.2309
162,236544,0.2365
163,229971,0.23
164,271516,0.2715
165,224354,0.2244
166,209061,0.2091
167,325116,0.3251
168,340139,0.3401
169,210948,0.2109
170,301098,0.3011
171,222893,0.2229
172,201769,0.2018
173,249158,0.2492
174,158341,0.1583
175,172997,0.173
176,156743,0.1567
177,231089,0.2311
178,187533,0.1875
179,221014,0.221
180,290407,0.2904
181,272864,0.2729
182,219391,0.2194
183,488071,0.4881
184,318813,0.3188
185,195103,0.1951
186,200095,0.2001
187,348841,0.3488
188,190655,0.1907
189,326049,0.326
190,212332,0.2123
191,235596,0.2356
192,168987,0.169
193,204091,0.2041
194,383400,0.3834
195,207261,0.2073
196,215778,0.2158
197,220952,0.221
198,211658,0.2117
199,243220,0.2432
200,222758,0.2228
201,233689,0.2337
202,220047,0.22
203,202249,0.2022
204,206877,0.2069
205,216293,0.2163
206,216558,0.2166
207,199682,0.1997
208,213286,0.2133
209,270533,0.2705
210,207781,0.2078
211,248247,0.2482
212,160608,0.1606
213,159938,0.1599
214,187951,0.188
215,205710,0.2057
216,736850,0.7369
217,1054037,1.054
218,519624,0.5196
219,104236,0.1042
220,334312,0.3343
221,390573,0.3906
222,366390,0.3664
223,553871,0.5539
224,391229,0.3912
225,461056,0.4611
226,360707,0.3607
227,237398,0.2374
228,389465,0.3895
229,354836,0.3548
230,245065,0.2451
231,361137,0.3611
232,395437,0.3954
233,376358,0.3764
234,400797,0.4008
235,397400,0.3974
236,483860,0.4839
237,378670,0.3787
238,744215,0.7442
239,609095,0.6091
240,605410,0.6054
241,683967,0.684
242,310359,0.3104
243,350618,0.3506
244,345176,0.3452
245,326067,0.3261
246,398431,0.3984
247,372316,0.3723
248,289464,0.2895
249,233230,0.2332
250,434208,0.4342
251,342606,0.3426
252,347020,0.347
253,192372,0.1924
254,289884,0.2899
255,241026,0.241
256,148270,0.1483
257,199480,0.1995
258,229178,0.2292
259,135059,0.1351
260,261000,0.261
261,545385,0.5454
262,406718,0.4067
263,212791,0.2128
264,98239,0.0982
265,216455,0.2165
266,121358,0.1214
267,143918,0.1439
268,145450,0.1454
269,125946,0.1259
270,76197,0.0762
271,89518,0.0895
272,103199,0.1032
273,192039,0.192
274,224496,0.2245
275,165850,0.1658
276,143106,0.1431
277,230464,0.2305
278,132241,0.1322
279,85426,0.0854
280,85465,0.0855
281,124979,0.125
282,111956,0.112
283,123933,0.1239
284,134365,0.1344
285,72652,0.0727
286,104143,0.1041
287,195041,0.195
288,88504,0.0885
289,118016,0.118
290,88624,0.0886
291,113781,0.1138
292,135229,0.1352
293,122400,0.1224
294,130406,0.1304
295,119165,0.1192
296,99087,0.0991
297,108564,0.1086
298,112571,0.1126
299,111136,0.1111
300,108052,0.1081
301,127195,0.1272
302,342799,0.3428
303,265415,0.2654
304,189653,0.1897
305,136798,0.1368
306,145873,0.1459
307,193597,0.1936
308,122174,0.1222
309,109020,0.109
310,99247,0.0992
311,226326,0.2263
312,225716,0.2257
313,219104,0.2191
314,229122,0.2291
315,286036,0.286
316,285666,0.2857
317,339745,0.3397
318,414705,0.4147
319,186488,0.1865
320,222270,0.2223
321,198917,0.1989
322,112366,0.1124
323,96984,0.097
324,71491,0.0715
325,236860,0.2369
326,224702,0.2247
327,267955,0.268
328,725052,0.7251
329,594390,0.5944
330,498474,0.4985
331,313692,0.3137
332,173933,0.1739
333,295727,0.2957
334,196916,0.1969
335,178658,0.1787
336,189936,0.1899
337,231992,0.232
338,146898,0.1469
339,156983,0.157
340,253500,0.2535
341,316865,0.3169
342,447094,0.4471
343,494422,0.4944
344,493099,0.4931
345,458708,0.4587
346,508570,0.5086
347,586359,0.5864
348,491140,0.4911
349,599365,0.5994
350,662618,0.6626
351,705695,0.7057
352,653952,0.654
353,745309,0.7453
354,654169,0.6542
355,773745,0.7737
356,713437,0.7134
357,669451,0.6695
358,726861,0.7269
359,1050810,1.0508
360,924107,0.9241
361,755397,0.7554
362,688835,0.6888
363,754338,0.7543
364,791562,0.7916
365,439611,0.4396
366,719202,0.7192
367,601795,0.6018
368,599512,0.5995
369,496071,0.4961
370,468786,0.4688
371,553460,0.5535
372,605593,0.6056
373,776087,0.7761
374,355156,0.3552
375,560827,0.5608
376,781028,0.781
377,793294,0.7933
378,1047317,1.0473
379,752176,0.7522
380,355864,0.3559
381,370321,0.3703
382,682014,0.682
383,415515,0.4155
384,496102,0.4961
385,398368,0.3984
386,373476,0.3735
387,332168,0.3322
388,431293,0.4313
389,436664,0.4367
390,435144,0.4351
391,483418,0.4834
392,372509,0.3725
393,452699,0.4527
394,506352,0.5064
395,430276,0.4303
396,445692,0.4457
397,695090,0.6951
398,814916,0.8149
399,803385,0.8034
400,721760,0.7218
401,342729,0.3427
402,360267,0.3603
403,637309,0.6373
404,433944,0.4339
405,636236,0.6362
406,478087,0.4781
407,556063,0.5561
408,631131,0.6311
409,502558,0.5026
410,758949,0.7589
411,419332,0.4193
412,509368,0.5094
413,604427,0.6044
414,614296,0.6143
415,656412,0.6564
416,697467,0.6975
417,701087,0.7011
418,702708,0.7027
419,699804,0.6998
420,695972,0.696
421,683446,0.6834
422,590871,0.5909
423,632083,0.6321
424,722433,0.7224
425,712359,0.7124
426,893516,0.8935
427,572207,0.5722
428,589597,0.5896
429,663971,0.664
430,492409,0.4924
431,379761,0.3798
432,516666,0.5167
433,300417,0.3004
434,374913,0.3749
435,243599,0.2436
436,199285,0.1993
437,197619,0.1976
438,131139,0.1311
439,284140,0.2841
440,161833,0.1618
441,254777,0.2548
442,162063,0.1621
443,250488,0.2505
444,127214,0.1272
445,122005,0.122
446,235610,0.2356
447,146111,0.1461
448,397017,0.397
449,285274,0.2853
450,284346,0.2843
451,377970,0.378
452,368968,0.369
453,280676,0.2807
454,284991,0.285
455,272663,0.2727
456,355009,0.355
457,284041,0.284
458,339604,0.3396
459,169556,0.1696
460,270484,0.2705
461,372765,0.3728
462,320999,0.321
463,386868,0.3869
464,342878,0.3429
465,218188,0.2182
466,246533,0.2465
467,266536,0.2665
468,166014,0.166
469,252891,0.2529
470,210094,0.2101
471,280743,0.2807
472,115162,0.1152
473,202091,0.2021
474,225084,0.2251
475,207547,0.2075
476,175155,0.1752
477,198302,0.1983
478,217008,0.217
479,80729,0.0807
480,184564,0.1846
481,189349,0.1893
482,222446,0.2224
483,196005,0.196
484,263385,0.2634
485,687007,0.687
486,546057,0.5461
487,352146,0.3521
488,184703,0.1847
489,274127,0.2741
490,447075,0.4471
491,340832,0.3408
492,234012,0.234
493,195361,0.1954
494,110263,0.1103
495,122001,0.122
496,75259,0.0753
497,244857,0.2449
498,191939,0.1919
499,374016,0.374
500,242406,0.2424
501,176723,0.1767
502,210772,0.2108
503,253140,0.2531
504,188535,0.1885
505,293445,0.2934
506,300339,0.3003
507,533516,0.5335
508,323426,0.3234
509,1279909,1.2799
510,715413,0.7154
511,431100,0.4311
512,381434,0.3814
513,259376,0.2594
514,360648,0.3606
515,446591,0.4466
516,348718,0.3487
517,546646,0.5466
518,629431,0.6294
519,389215,0.3892
520,347676,0.3477
521,386676,0.3867
522,305116,0.3051
523,595673,0.5957
524,464791,0.4648
525,628398,0.6284
526,766276,0.7663
527,633352,0.6334
528,546762,0.5468
529,961537,0.9615
530,702960,0.703
531,456739,0.4567
532,426460,0.4265
533,546454,0.5465
534,371653,0.3717
535,640286,0.6403
536,412818,0.4128
537,428443,0.4284
538,618518,0.6185
539,442228,0.4422
540,549176,0.5492
541,456521,0.4565
542,491521,0.4915
543,414989,0.415
544,478687,0.4787
545,400904,0.4009
546,416130,0.4161
547,440902,0.4409
548,611192,0.6112
549,461669,0.4617
550,659690,0.6597
551,667551,0.6676
552,677012,0.677
553,609364,0.6094
554,689971,0.69
555,679914,0.6799
556,566364,0.5664
557,768288,0.7683
558,677876,0.6779
559,660745,0.6607
560,761888,0.7619
561,251734,0.2517
562,411058,0.4111
563,450496,0.4505
564,334920,0.3349
565,562373,0.5624
566,585999,0.586
567,459921,0.4599
568,473723,0.4737
569,454672,0.4547
570,577145,0.5771
571,689812,0.6898
572,504701,0.5047
573,418857,0.4189
574,451710,0.4517
575,319339,0.3193
576,369901,0.3699
577,373446,0.3734
578,657434,0.6574
579,813594,0.8136
580,712432,0.7124
581,418965,0.419
582,403665,0.4037
583,454385,0.4544
584,371164,0.3712
585,367086,0.3671
586,474934,0.4749
587,679890,0.6799
588,608625,0.6086
589,460017,0.46
590,442025,0.442
591,512835,0.5128
592,388686,0.3887
593,568849,0.5688
594,817173,0.8172
595,901993,0.902
596,944278,0.9443
597,641865,0.6419
598,739123,0.7391
599,636926,0.6369
600,771041,0.771
601,685559,0.6856
602,842379,0.8424
603,857864,0.8579
604,905676,0.9057
605,742570,0.7426
606,989186,0.9892
607,973020,0.973
608,916864,0.9169
609,638848,0.6388
610,522771,0.5228
611,585139,0.5851
612,436132,0.4361
613,393788,0.3938
614,345243,0.3452
615,236034,0.236
616,255966,0.256
617,350944,0.3509
618,213537,0.2135
619,231911,0.2319
620,246538,0.2465
621,229997,0.23
622,306210,0.3062
623,293445,0.2934
624,203778,0.2038
625,344925,0.3449
626,200963,0.201
627,822812,0.8228
628,741381,0.7414
629,736146,0.7361
630,714013,0.714
631,484612,0.4846
632,466483,0.4665
633,588908,0.5889
634,421580,0.4216
635,493853,0.4939
636,346537,0.3465
637,375444,0.3754
638,484448,0.4844
639,470072,0.4701
640,293338,0.2933
641,405664,0.4057
642,439111,0.4391
643,472601,0.4726
644,429338,0.4293
645,346821,0.3468
646,471296,0.4713
647,543477,0.5435
648,992057,0.9921
649,882412,0.8824
650,593784,0.5938
651,524313,0.5243
652,806125,0.8061
653,390619,0.3906
654,533370,0.5334
655,500121,0.5001
656,654480,0.6545
657,443360,0.4434
658,618672,0.6187
659,448846,0.4488
660,375209,0.3752
661,589238,0.5892
662,440396,0.4404
663,396088,0.3961
664,296840,0.2968
665,464489,0.4645
666,402748,0.4027
667,291302,0.2913
668,437956,0.438
669,308788,0.3088
670,494561,0.4946
671,548639,0.5486
672,323464,0.3235
673,590504,0.5905
674,536802,0.5368
675,366946,0.3669
676,629590,0.6296
677,759839,0.7598
678,579993,0.58
679,973252,0.9733
680,786900,0.7869
681,447136,0.4471
682,578128,0.5781
683,472541,0.4725
684,641286,0.6413
685,508145,0.5081
686,339869,0.3399
