elapsed_s,cpu_percent,memory_mb
0.000,0.0,45.68
0.101,9.9,46.98
0.201,0.0,47.08
0.302,0.0,47.08
0.402,0.0,47.08
0.502,0.0,47.08
0.602,0.0,47.18
0.703,0.0,47.18
0.803,0.0,47.33
0.904,0.0,47.33
1.004,0.0,47.33
1.104,0.0,47.40
1.205,0.0,47.40
1.305,0.0,47.40
1.406,0.0,47.40
1.507,0.0,47.40
1.608,0.0,47.40
1.708,0.0,47.40
1.810,0.0,47.40
1.911,0.0,47.40
2.012,0.0,47.46
2.113,9.9,47.46
2.214,0.0,47.46
2.315,0.0,47.46
2.416,0.0,47.46
2.517,9.9,47.55
2.617,0.0,47.55
2.718,0.0,47.55
2.819,0.0,47.55
2.920,0.0,47.55
3.021,0.0,47.61
3.121,0.0,47.61
3.222,0.0,47.61
3.323,0.0,47.61
3.424,0.0,47.61
3.526,0.0,47.61
3.627,0.0,47.61
3.728,0.0,47.61
3.829,0.0,47.61
3.930,0.0,47.61
4.030,19.8,47.76
4.131,0.0,47.76
4.232,0.0,47.76
4.333,0.0,47.76
4.434,0.0,47.76
4.535,9.9,47.77
4.636,0.0,47.77
4.737,0.0,47.77
4.838,0.0,47.77
4.939,0.0,47.77
5.040,9.9,48.01
5.141,0.0,48.01
5.242,0.0,48.01
5.343,0.0,48.01
5.443,0.0,48.01
5.544,0.0,48.01
5.645,0.0,48.01
5.746,0.0,48.01
5.847,0.0,48.01
5.948,0.0,48.01
6.049,0.0,48.01
6.150,0.0,48.01
6.251,0.0,48.01
6.351,0.0,48.01
6.452,0.0,48.01
6.554,0.0,48.01
6.654,0.0,48.01
6.756,0.0,48.01
6.856,0.0,48.01
6.957,0.0,48.01
7.057,0.0,48.01
7.158,0.0,48.01
7.259,0.0,48.01
7.360,0.0,48.01
7.460,0.0,48.01
7.561,29.8,50.06
7.662,0.0,50.06
7.762,0.0,50.06
7.863,0.0,50.06
7.964,0.0,50.06
8.064,9.9,50.05
8.165,0.0,50.05
8.265,0.0,50.05
8.366,0.0,50.05
8.467,0.0,50.05
8.568,0.0,50.05
8.668,0.0,50.05
8.769,0.0,50.05
8.870,0.0,50.05
8.971,0.0,50.05
9.072,0.0,50.05
9.173,0.0,50.05
9.275,0.0,50.05
9.376,0.0,50.05
9.476,0.0,50.05
9.577,0.0,50.05
9.678,0.0,50.05
9.779,0.0,50.05
9.880,0.0,50.05
9.980,0.0,50.05
10.081,9.9,50.05
10.181,0.0,50.05
10.282,0.0,50.05
10.383,0.0,50.05
10.483,0.0,50.05
10.583,0.0,50.05
10.684,0.0,50.05
10.784,0.0,50.05
10.885,0.0,50.05
10.986,0.0,50.05
11.087,0.0,50.05
11.187,0.0,50.05
11.288,0.0,50.05
11.389,0.0,50.05
11.490,0.0,50.05
11.590,0.0,50.05
11.691,0.0,50.05
11.792,0.0,50.05
11.893,0.0,50.05
11.994,0.0,50.05
12.095,0.0,50.05
12.196,0.0,50.05
12.297,0.0,50.05
12.398,0.0,50.05
12.498,0.0,50.05
12.599,10.0,50.05
12.699,0.0,50.05
12.800,0.0,50.05
12.901,0.0,50.05
13.001,0.0,50.05
13.102,0.0,50.05
13.203,0.0,50.05
13.304,0.0,50.05
13.406,0.0,50.05
13.506,0.0,50.05
13.607,0.0,50.06
13.707,0.0,50.06
13.809,0.0,50.06
13.910,0.0,50.06
14.011,0.0,50.06
14.112,0.0,50.16
14.212,0.0,50.16
14.313,0.0,50.16
14.414,0.0,50.16
14.514,0.0,50.16
14.615,0.0,50.16
14.716,0.0,50.16
14.816,0.0,50.16
14.917,0.0,50.16
15.018,9.9,50.17
15.118,79.5,51.23
15.219,10.0,51.32
15.319,0.0,51.32
15.420,0.0,51.32
15.521,0.0,51.32
15.622,9.9,51.32
15.722,9.9,51.32
15.823,0.0,51.32
15.923,0.0,51.32
16.024,0.0,51.32
16.125,0.0,51.32
16.226,0.0,51.32
16.327,0.0,51.32
16.427,0.0,51.32
16.528,0.0,51.32
16.629,0.0,51.32
16.730,0.0,51.32
16.830,0.0,51.32
16.931,0.0,51.32
17.031,0.0,51.32
17.132,0.0,51.32
17.233,0.0,51.32
17.334,0.0,51.32
17.434,0.0,51.32
17.535,0.0,51.32
17.636,0.0,51.32
17.737,0.0,51.32
