elapsed_s,cpu_percent,memory_mb
0.000,0.0,45.68
0.101,29.8,47.11
0.201,19.9,47.82
0.302,59.7,50.71
0.402,69.5,50.89
0.503,29.9,50.99
0.604,39.7,51.00
0.704,69.3,51.39
0.805,59.8,51.60
0.906,29.9,51.62
1.006,39.8,51.64
1.107,29.9,51.67
1.207,29.8,51.68
1.309,29.7,51.70
1.410,49.1,51.72
1.511,19.8,51.73
1.611,39.8,51.75
1.712,29.8,51.87
1.813,29.8,51.89
1.913,19.9,51.92
2.014,39.7,51.93
2.114,29.8,51.94
2.215,29.8,51.96
2.316,39.8,51.98
2.416,29.8,52.00
2.518,29.8,52.02
2.618,29.6,52.04
