elapsed_s,cpu_percent,memory_mb
0.000,0.0,45.70
0.101,10.0,47.01
0.201,10.0,47.07
0.301,0.0,47.23
0.402,0.0,47.42
0.503,0.0,47.49
0.603,0.0,47.49
0.704,0.0,47.49
0.805,19.8,47.64
0.906,0.0,47.70
1.007,0.0,47.71
1.107,10.0,47.84
1.208,0.0,47.84
1.309,19.9,48.09
1.409,0.0,48.09
1.510,0.0,48.09
1.610,0.0,48.09
1.712,0.0,48.09
1.813,29.6,50.14
1.914,0.0,50.14
2.015,9.9,50.14
2.116,0.0,50.14
2.217,0.0,50.14
2.317,19.8,50.14
2.418,0.0,50.14
2.519,0.0,50.14
2.619,0.0,50.14
2.721,0.0,50.14
2.821,0.0,50.15
2.922,0.0,50.15
3.023,0.0,50.15
3.124,0.0,50.15
3.225,0.0,50.15
3.325,89.5,51.27
3.427,9.9,51.37
3.528,9.9,51.37
3.629,0.0,51.37
3.730,0.0,51.37
3.831,0.0,51.37
3.932,9.9,51.37
4.033,9.9,51.37
4.134,0.0,51.37
4.234,0.0,51.37
4.335,0.0,51.37
4.436,0.0,51.37
4.538,0.0,51.37
4.639,0.0,51.37
4.740,0.0,51.37
4.840,9.9,51.38
4.941,0.0,51.38
5.041,0.0,51.38
5.142,0.0,51.38
5.243,0.0,51.38
5.343,0.0,51.38
5.445,0.0,51.38
5.546,0.0,51.38
5.648,0.0,51.38
5.749,0.0,51.38
5.850,0.0,51.38
5.950,0.0,51.38
6.051,9.9,51.38
6.152,0.0,51.38
6.252,0.0,51.38
6.353,69.5,51.53
6.453,0.0,51.53
6.554,19.9,51.53
6.654,0.0,51.53
6.755,0.0,51.53
6.855,0.0,51.53
6.956,0.0,51.53
7.057,0.0,51.53
7.157,0.0,51.53
7.258,9.9,51.53
7.359,0.0,51.53
7.459,0.0,51.53
7.560,0.0,51.53
7.661,0.0,51.53
7.762,0.0,51.53
7.863,0.0,51.54
7.963,0.0,51.54
8.064,0.0,51.54
8.164,0.0,51.54
8.265,0.0,51.54
8.366,0.0,51.54
8.467,9.9,51.54
8.568,0.0,51.54
8.668,0.0,51.54
8.769,0.0,51.54
8.870,0.0,51.54
8.970,0.0,51.54
9.071,0.0,51.54
9.172,0.0,51.54
9.273,9.9,51.54
9.374,0.0,51.54
9.475,9.9,51.54
9.576,0.0,51.54
9.677,0.0,51.54
9.777,0.0,51.55
9.878,0.0,51.55
9.979,0.0,51.55
10.080,0.0,51.56
10.181,0.0,51.56
10.282,0.0,51.56
10.383,0.0,51.56
10.483,9.9,51.56
10.584,0.0,51.56
10.685,0.0,51.56
10.786,0.0,51.56
10.887,0.0,51.56
10.987,0.0,51.56
11.089,0.0,51.56
11.190,0.0,51.56
11.291,0.0,51.56
11.391,0.0,51.56
11.492,0.0,51.56
11.593,0.0,51.56
11.693,0.0,51.56
11.794,0.0,51.56
11.895,9.9,51.56
11.996,0.0,51.56
12.097,0.0,51.56
12.197,0.0,51.56
12.298,0.0,51.56
12.399,0.0,51.56
12.499,0.0,51.56
12.600,0.0,51.56
12.701,9.9,51.56
12.802,0.0,51.56
12.903,0.0,51.57
13.004,0.0,51.57
13.105,0.0,51.57
13.206,9.9,51.57
