elapsed_s,cpu_percent,memory_mb
0.000,0.0,45.56
0.101,10.0,47.01
0.201,29.9,47.97
0.301,39.9,50.33
0.402,39.9,51.18
0.502,39.8,51.26
0.603,19.9,51.28
0.703,49.8,51.43
0.803,19.9,51.45
0.905,9.9,51.54
1.005,9.9,51.55
1.107,19.9,51.57
1.208,19.7,51.59
1.309,29.8,51.60
1.410,19.8,51.62
1.511,19.8,51.64
1.612,29.7,51.65
1.713,19.8,51.66
1.814,19.9,51.68
1.914,19.9,51.69
2.017,19.7,51.71
2.117,19.8,51.72
2.218,9.9,51.74
2.319,19.8,51.75
2.420,29.7,51.77
2.521,19.7,51.79
2.622,19.7,51.80
2.723,19.9,51.82
2.823,29.9,51.83
