seq,latency_ns,latency_ms
1,4735900,4.7359
2,4497600,4.4976
3,1548800,1.5488
4,1169500,1.1695
5,333600,0.3336
6,346800,0.3468
7,1423200,1.4232
8,1281000,1.281
9,927800,0.9278
10,1397900,1.3979
11,1618300,1.6183
12,1879500,1.8795
13,1145500,1.1455
14,549500,0.5495
15,1019600,1.0196
16,587900,0.5879
17,1248700,1.2487
18,443300,0.4433
19,351000,0.351
20,1289400,1.2894
21,6843500,6.8435
22,998600,0.9986
23,1348600,1.3486
24,1400300,1.4003
25,1105100,1.1051
26,338100,0.3381
27,574800,0.5748
28,474500,0.4745
29,404900,0.4049
30,319400,0.3194
31,1127400,1.1274
32,1383900,1.3839
33,383700,0.3837
34,500600,0.5006
35,512300,0.5123
36,517700,0.5177
37,1076900,1.0769
38,1740200,1.7402
39,1083300,1.0833
40,1112700,1.1127
41,1203000,1.203
42,1281600,1.2816
43,1226700,1.2267
44,1105500,1.1055
45,1142200,1.1422
46,979700,0.9797
47,882100,0.8821
48,1135200,1.1352
49,1001100,1.0011
50,941900,0.9419
51,1461600,1.4616
52,1453000,1.453
53,906700,0.9067
54,1360600,1.3606
55,978000,0.978
56,1202800,1.2028
57,675100,0.6751
58,1000800,1.0008
59,1063600,1.0636
60,1161600,1.1616
61,806100,0.8061
62,1822100,1.8221
63,1147900,1.1479
64,897800,0.8978
65,1520500,1.5205
66,939000,0.939
67,963100,0.9631
68,880300,0.8803
69,170300,0.1703
70,1172800,1.1728
71,771100,0.7711
72,948800,0.9488
73,1158900,1.1589
74,897300,0.8973
75,884700,0.8847
76,382900,0.3829
77,239900,0.2399
78,817800,0.8178
79,494900,0.4949
80,643000,0.643
81,1023800,1.0238
82,322600,0.3226
83,1450800,1.4508
84,611800,0.6118
85,571100,0.5711
86,567900,0.5679
87,687500,0.6875
88,758200,0.7582
89,298600,0.2986
90,817400,0.8174
91,1177600,1.1776
92,1244500,1.2445
93,925900,0.9259
94,1013100,1.0131
95,714200,0.7142
96,1238900,1.2389
97,245500,0.2455
98,980900,0.9809
99,725000,0.725
100,755000,0.755
101,440000,0.44
102,197100,0.1971
103,781700,0.7817
104,1024900,1.0249
105,871900,0.8719
106,1235700,1.2357
107,1111900,1.1119
108,965200,0.9652
109,1170400,1.1704
110,1109900,1.1099
111,648600,0.6486
112,1011700,1.0117
113,744100,0.7441
114,1277500,1.2775
115,802200,0.8022
116,705300,0.7053
117,1104400,1.1044
118,474600,0.4746
119,710300,0.7103
120,722600,0.7226
121,1098800,1.0988
122,962900,0.9629
123,577600,0.5776
124,372100,0.3721
125,626000,0.626
126,446400,0.4464
127,801700,0.8017
128,895000,0.895
129,373200,0.3732
130,773500,0.7735
131,882400,0.8824
132,808800,0.8088
133,763500,0.7635
134,630600,0.6306
135,412000,0.412
136,360800,0.3608
137,1096500,1.0965
138,530700,0.5307
139,1161800,1.1618
140,575400,0.5754
141,778400,0.7784
142,746300,0.7463
143,365300,0.3653
144,400200,0.4002
145,521400,0.5214
146,880100,0.8801
147,379900,0.3799
148,680300,0.6803
149,290200,0.2902
150,740900,0.7409
151,556300,0.5563
152,1391300,1.3913
153,723600,0.7236
154,824300,0.8243
155,875000,0.875
156,1044100,1.0441
157,1022100,1.0221
158,839700,0.8397
159,690100,0.6901
160,710000,0.71
161,824800,0.8248
162,1021800,1.0218
163,973300,0.9733
164,1006600,1.0066
165,769000,0.769
166,975500,0.9755
167,981600,0.9816
168,1063100,1.0631
169,910600,0.9106
170,1724800,1.7248
171,980300,0.9803
172,1129300,1.1293
173,1033500,1.0335
174,916200,0.9162
175,1065900,1.0659
176,770200,0.7702
177,961200,0.9612
178,1045500,1.0455
179,795200,0.7952
180,139800,0.1398
181,622700,0.6227
182,458700,0.4587
183,307400,0.3074
184,454400,0.4544
185,214400,0.2144
186,492900,0.4929
187,423200,0.4232
188,321600,0.3216
189,634200,0.6342
190,513300,0.5133
191,607300,0.6073
192,790400,0.7904
193,1181500,1.1815
194,919000,0.919
195,1123800,1.1238
196,1125300,1.1253
197,1123000,1.123
198,1298200,1.2982
199,928300,0.9283
200,2280400,2.2804
201,849700,0.8497
202,1028300,1.0283
203,489500,0.4895
204,703000,0.703
205,388200,0.3882
206,1026100,1.0261
207,538000,0.538
208,992300,0.9923
209,421100,0.4211
210,472800,0.4728
211,1061100,1.0611
212,761400,0.7614
213,444000,0.444
214,848200,0.8482
215,578700,0.5787
216,933600,0.9336
217,817600,0.8176
218,717400,0.7174
219,811600,0.8116
220,559100,0.5591
221,649100,0.6491
222,884500,0.8845
223,1130900,1.1309
224,939500,0.9395
225,704900,0.7049
226,664700,0.6647
227,981200,0.9812
228,1207500,1.2075
229,1203800,1.2038
230,1116800,1.1168
231,1097900,1.0979
232,1018500,1.0185
233,1043000,1.043
234,1127000,1.127
235,949300,0.9493
236,1260800,1.2608
237,840000,0.84
238,943000,0.943
239,1214700,1.2147
240,747800,0.7478
241,919800,0.9198
242,1115400,1.1154
243,1055500,1.0555
244,939700,0.9397
245,1342900,1.3429
246,971700,0.9717
247,886500,0.8865
248,956500,0.9565
249,1171400,1.1714
250,1239000,1.239
251,1400500,1.4005
252,1044500,1.0445
253,844500,0.8445
254,856600,0.8566
255,935400,0.9354
256,352400,0.3524
257,795200,0.7952
258,1109700,1.1097
259,858500,0.8585
260,1108300,1.1083
261,716600,0.7166
262,1332500,1.3325
263,673800,0.6738
264,452300,0.4523
265,838900,0.8389
266,743300,0.7433
267,791900,0.7919
268,459500,0.4595
269,871000,0.871
