elapsed_s,cpu_percent,memory_mb
0.000,0.0,45.66
0.101,9.9,47.03
0.201,0.0,47.09
0.301,0.0,47.38
0.402,0.0,47.45
0.502,0.0,47.61
0.602,0.0,47.61
0.703,10.0,47.80
0.803,19.9,48.05
0.905,0.0,48.05
1.005,0.0,48.05
1.106,19.9,50.09
1.207,9.9,50.09
1.308,9.9,50.09
1.409,0.0,50.09
1.510,0.0,50.10
1.611,0.0,50.10
1.712,0.0,50.10
1.813,29.7,50.91
1.914,19.9,51.21
2.014,39.6,51.36
2.115,0.0,51.36
2.217,0.0,51.36
2.317,0.0,51.36
2.418,0.0,51.36
2.519,9.9,51.36
2.620,0.0,51.36
2.721,0.0,51.36
2.822,0.0,51.36
2.923,9.9,51.36
3.024,9.9,51.36
3.126,0.0,51.36
3.226,0.0,51.37
3.327,0.0,51.37
3.427,29.9,51.49
3.528,39.6,51.51
3.629,0.0,51.51
3.730,0.0,51.51
3.831,9.9,51.51
3.932,0.0,51.51
4.032,0.0,51.51
4.133,9.9,51.51
4.234,0.0,51.51
4.334,9.9,51.52
4.435,0.0,51.53
4.536,0.0,51.53
4.637,0.0,51.53
4.738,0.0,51.53
4.839,0.0,51.53
4.940,9.9,51.53
5.041,9.9,51.53
5.141,0.0,51.53
5.242,0.0,51.53
5.342,0.0,51.54
5.443,0.0,51.54
5.544,0.0,51.54
5.644,0.0,51.54
5.745,0.0,51.54
5.845,0.0,51.54
5.946,9.9,51.54
6.048,0.0,51.54
6.149,0.0,51.54
6.250,0.0,51.55
6.351,0.0,51.55
6.452,9.9,51.55
6.553,9.9,51.55
6.655,0.0,51.55
6.755,0.0,51.55
6.857,0.0,51.55
6.958,0.0,51.55
7.058,9.9,51.55
7.160,0.0,51.55
7.260,0.0,51.55
7.361,0.0,51.55
7.463,0.0,51.55
7.564,0.0,51.55
7.664,9.9,51.55
7.765,0.0,51.55
7.866,0.0,51.55
7.967,9.9,51.55
8.067,0.0,51.56
8.168,0.0,51.56
8.269,0.0,51.56
8.370,0.0,51.56
8.471,0.0,51.56
8.572,0.0,51.56
8.673,0.0,51.56
8.774,9.9,51.56
8.875,0.0,51.56
8.976,0.0,51.57
9.076,10.0,51.57
9.177,0.0,51.57
9.278,0.0,51.57
9.378,0.0,51.57
9.479,0.0,51.57
9.579,0.0,51.57
9.680,0.0,51.57
9.781,0.0,51.57
9.882,9.9,51.57
9.984,0.0,51.57
10.084,9.9,51.57
10.185,0.0,51.57
10.287,0.0,51.57
10.388,0.0,51.57
10.489,0.0,51.57
10.590,0.0,51.67
