elapsed_s,cpu_percent,memory_mb
0.000,0.0,45.61
0.101,9.9,46.92
0.201,0.0,47.02
0.301,0.0,47.02
0.402,0.0,47.02
0.502,0.0,47.02
0.603,9.9,47.11
0.704,0.0,47.11
0.805,0.0,47.27
0.906,0.0,47.27
1.007,0.0,47.27
1.108,0.0,47.34
1.209,0.0,47.34
1.310,0.0,47.34
1.411,0.0,47.34
1.512,0.0,47.34
1.613,0.0,47.34
1.714,0.0,47.34
1.815,0.0,47.34
1.916,0.0,47.34
2.017,0.0,47.34
2.118,9.9,47.40
2.218,0.0,47.40
2.319,0.0,47.40
2.419,0.0,47.40
2.521,0.0,47.40
2.621,9.9,47.49
2.722,0.0,47.49
2.823,0.0,47.49
2.924,0.0,47.49
3.026,0.0,47.49
3.126,0.0,47.55
3.228,0.0,47.55
3.329,0.0,47.55
3.429,0.0,47.55
3.530,0.0,47.55
3.630,0.0,47.55
3.731,0.0,47.55
3.832,0.0,47.55
3.933,0.0,47.55
4.033,0.0,47.55
4.134,19.9,47.70
4.234,0.0,47.70
4.335,0.0,47.70
4.436,0.0,47.70
4.536,0.0,47.70
4.637,0.0,47.70
4.738,0.0,47.70
4.838,0.0,47.70
4.939,0.0,47.70
5.039,0.0,47.70
5.140,29.9,47.95
5.241,0.0,47.95
5.341,0.0,47.95
5.442,0.0,47.95
5.543,0.0,47.95
5.643,0.0,47.95
5.744,0.0,47.95
5.845,0.0,47.95
5.946,0.0,47.95
6.047,0.0,47.95
6.148,0.0,47.95
6.248,0.0,47.95
6.348,0.0,47.95
6.449,0.0,47.95
6.550,0.0,47.95
6.650,0.0,47.95
6.751,0.0,47.95
6.852,0.0,47.95
6.953,0.0,47.95
7.054,0.0,47.95
7.155,9.9,47.95
7.256,0.0,47.95
7.357,0.0,47.95
7.458,0.0,47.95
7.559,0.0,47.95
7.660,29.7,50.00
7.760,0.0,50.00
7.861,0.0,50.00
7.961,0.0,50.00
8.061,0.0,50.00
8.162,10.0,50.00
8.262,0.0,50.00
8.362,0.0,50.00
8.463,0.0,50.00
8.563,0.0,50.00
8.664,0.0,50.00
8.764,0.0,50.00
8.865,0.0,50.00
8.966,0.0,50.00
9.066,0.0,50.00
9.166,0.0,50.00
9.267,0.0,50.00
9.367,0.0,50.00
9.468,0.0,50.00
9.569,0.0,50.00
9.669,0.0,50.00
9.770,0.0,50.00
9.871,0.0,50.00
9.971,0.0,50.00
10.073,0.0,50.00
10.173,0.0,50.00
10.275,0.0,50.00
10.376,0.0,50.00
10.477,0.0,50.00
10.578,0.0,50.00
10.679,0.0,50.00
10.780,0.0,50.00
10.881,0.0,50.00
10.982,0.0,50.00
11.083,0.0,50.00
11.184,9.9,50.00
11.285,0.0,50.00
11.385,0.0,50.00
11.486,0.0,50.00
11.586,0.0,50.00
11.687,0.0,50.00
11.787,0.0,50.00
11.888,0.0,50.00
11.989,0.0,50.00
12.089,0.0,50.00
12.189,0.0,49.54
12.290,0.0,49.54
12.391,0.0,49.54
12.492,0.0,49.54
12.593,0.0,49.54
12.694,0.0,49.54
12.795,0.0,49.54
12.896,0.0,49.54
12.997,0.0,49.54
13.098,0.0,49.54
13.199,0.0,49.54
13.300,0.0,49.54
13.402,0.0,49.54
13.503,0.0,49.54
13.604,0.0,49.55
13.705,0.0,49.55
13.806,0.0,49.55
13.907,0.0,49.55
14.008,0.0,49.55
14.109,0.0,49.65
14.210,0.0,49.65
14.310,0.0,49.65
14.412,0.0,49.65
14.513,0.0,49.65
14.614,0.0,49.65
14.715,0.0,49.65
14.816,0.0,49.65
14.917,0.0,49.65
15.019,0.0,49.65
15.119,19.8,49.73
15.219,79.6,51.26
15.321,0.0,51.26
15.421,0.0,51.26
15.523,0.0,51.26
15.623,9.9,51.26
15.724,0.0,51.27
15.824,0.0,51.27
15.925,0.0,51.27
16.026,0.0,51.27
16.126,9.9,51.27
16.228,0.0,51.27
16.329,0.0,51.27
16.429,0.0,51.27
16.530,0.0,51.27
16.630,0.0,51.27
16.731,0.0,51.27
16.832,0.0,51.27
16.932,0.0,51.27
17.033,0.0,51.27
17.134,0.0,51.27
17.235,0.0,51.27
17.336,0.0,51.27
17.437,0.0,51.27
17.537,0.0,51.27
17.637,10.0,51.27
17.739,0.0,51.27
17.840,0.0,51.27
17.940,0.0,51.27
18.041,0.0,51.27
18.142,0.0,51.27
18.243,0.0,51.27
18.343,0.0,51.27
18.443,0.0,51.27
18.544,0.0,51.27
18.645,0.0,51.27
18.746,0.0,51.27
18.847,0.0,51.27
18.947,0.0,51.27
19.048,0.0,51.27
19.149,0.0,51.27
19.249,0.0,51.27
19.350,0.0,51.27
19.451,0.0,51.27
19.552,0.0,51.27
19.653,0.0,51.27
19.754,0.0,51.27
19.855,0.0,51.27
19.956,0.0,51.27
20.057,0.0,51.27
20.158,0.0,51.27
20.259,0.0,51.24
20.360,0.0,51.24
20.461,0.0,51.24
20.562,0.0,51.24
20.663,0.0,51.24
20.764,0.0,51.24
20.865,0.0,51.24
