seq,latency_ns,latency_ms
1,56112,0.0561
2,71680,0.0717
3,216699,0.2167
4,109391,0.1094
5,124113,0.1241
6,122917,0.1229
7,79087,0.0791
8,144211,0.1442
9,64722,0.0647
10,67100,0.0671
11,73221,0.0732
12,37353,0.0374
13,65960,0.066
14,60418,0.0604
15,66715,0.0667
16,108853,0.1089
17,113977,0.114
18,155508,0.1555
19,94027,0.094
20,39767,0.0398
21,44077,0.0441
22,40746,0.0407
23,46199,0.0462
24,34557,0.0346
25,41286,0.0413
26,65669,0.0657
27,28100,0.0281
28,29141,0.0291
29,17133,0.0171
30,17250,0.0173
31,87443,0.0874
32,153901,0.1539
33,120129,0.1201
34,118873,0.1189
35,266548,0.2665
36,168204,0.1682
37,163230,0.1632
38,60513,0.0605
39,72332,0.0723
40,54519,0.0545
41,42851,0.0429
42,74214,0.0742
43,35289,0.0353
44,52208,0.0522
45,53461,0.0535
46,82604,0.0826
47,142161,0.1422
48,72437,0.0724
49,49206,0.0492
50,58094,0.0581
51,33967,0.034
52,69465,0.0695
53,44168,0.0442
54,45415,0.0454
55,18599,0.0186
56,32793,0.0328
57,33310,0.0333
58,37557,0.0376
59,40335,0.0403
60,317489,0.3175
61,228631,0.2286
62,129033,0.129
63,67864,0.0679
64,79187,0.0792
65,68609,0.0686
66,103042,0.103
67,73766,0.0738
68,76345,0.0763
69,79387,0.0794
70,114056,0.1141
71,69369,0.0694
72,71884,0.0719
73,59770,0.0598
74,191243,0.1912
75,193103,0.1931
76,118799,0.1188
77,175302,0.1753
78,187136,0.1871
79,103644,0.1036
80,112348,0.1123
81,74638,0.0746
82,59558,0.0596
83,68629,0.0686
84,84120,0.0841
85,63440,0.0634
86,68360,0.0684
87,85213,0.0852
88,117193,0.1172
89,45220,0.0452
90,71264,0.0713
91,34582,0.0346
92,52439,0.0524
93,68963,0.069
94,101009,0.101
95,59222,0.0592
96,37129,0.0371
97,29570,0.0296
98,24650,0.0246
99,53388,0.0534
100,20652,0.0207
101,20173,0.0202
102,20803,0.0208
103,208433,0.2084
104,110883,0.1109
105,74757,0.0748
106,195086,0.1951
107,173544,0.1735
108,128881,0.1289
109,71410,0.0714
110,45405,0.0454
111,47945,0.0479
112,17723,0.0177
113,41977,0.042
114,31693,0.0317
115,18448,0.0184
116,24900,0.0249
117,31938,0.0319
118,75602,0.0756
119,60202,0.0602
120,110169,0.1102
121,60536,0.0605
122,90094,0.0901
123,79709,0.0797
124,63390,0.0634
125,69616,0.0696
126,97733,0.0977
127,111765,0.1118
128,94405,0.0944
129,77467,0.0775
130,105668,0.1057
131,114374,0.1144
132,220476,0.2205
133,439973,0.44
134,446138,0.4461
135,248063,0.2481
136,290238,0.2902
137,62386,0.0624
138,68748,0.0687
139,156791,0.1568
140,393964,0.394
141,146231,0.1462
142,121141,0.1211
143,131917,0.1319
144,163446,0.1634
145,142262,0.1423
146,201288,0.2013
147,183681,0.1837
148,178663,0.1787
149,217359,0.2174
150,207401,0.2074
151,191156,0.1912
152,203737,0.2037
153,146769,0.1468
154,209383,0.2094
155,549089,0.5491
156,174531,0.1745
157,586420,0.5864
158,498001,0.498
159,244619,0.2446
160,412697,0.4127
161,309726,0.3097
162,402468,0.4025
163,567152,0.5672
164,297731,0.2977
165,309868,0.3099
166,262361,0.2624
167,210127,0.2101
168,214603,0.2146
169,125703,0.1257
170,154670,0.1547
171,174890,0.1749
172,83322,0.0833
173,87467,0.0875
174,43698,0.0437
175,73106,0.0731
176,29972,0.03
177,27414,0.0274
178,33726,0.0337
179,38811,0.0388
180,51869,0.0519
181,38473,0.0385
182,55325,0.0553
183,37583,0.0376
184,55143,0.0551
185,81641,0.0816
186,84501,0.0845
187,87375,0.0874
188,109350,0.1094
189,108129,0.1081
190,117375,0.1174
191,115958,0.116
192,149919,0.1499
193,187454,0.1875
194,228556,0.2286
195,211503,0.2115
196,290086,0.2901
197,656794,0.6568
198,484081,0.4841
199,338730,0.3387
200,533523,0.5335
201,511126,0.5111
202,234909,0.2349
203,219388,0.2194
204,204091,0.2041
205,107602,0.1076
206,72194,0.0722
207,55915,0.0559
208,61502,0.0615
209,56196,0.0562
210,225475,0.2255
211,234728,0.2347
212,238245,0.2382
213,286166,0.2862
214,210325,0.2103
215,281104,0.2811
216,208435,0.2084
217,198410,0.1984
218,199949,0.1999
219,221296,0.2213
220,207024,0.207
221,554922,0.5549
222,830219,0.8302
223,439850,0.4399
224,455626,0.4556
225,282144,0.2821
226,475072,0.4751
227,641224,0.6412
228,233608,0.2336
229,107170,0.1072
230,385908,0.3859
231,376098,0.3761
232,284795,0.2848
233,255536,0.2555
234,459056,0.4591
235,281101,0.2811
236,501890,0.5019
237,219340,0.2193
238,315021,0.315
239,174399,0.1744
240,128583,0.1286
241,107421,0.1074
242,164080,0.1641
243,162986,0.163
244,115213,0.1152
245,196289,0.1963
246,180731,0.1807
247,141997,0.142
248,141213,0.1412
249,161193,0.1612
250,135967,0.136
251,112233,0.1122
252,71594,0.0716
253,96576,0.0966
254,81665,0.0817
255,100051,0.1001
256,86187,0.0862
257,537079,0.5371
258,436646,0.4366
259,111009,0.111
260,376913,0.3769
261,47992,0.048
262,107439,0.1074
263,111658,0.1117
264,106090,0.1061
265,107151,0.1072
266,118442,0.1184
267,229461,0.2295
268,231601,0.2316
269,128707,0.1287
270,165118,0.1651
271,168068,0.1681
272,92058,0.0921
273,54829,0.0548
274,106615,0.1066
275,86237,0.0862
276,94424,0.0944
277,136448,0.1364
278,249885,0.2499
279,344671,0.3447
280,531786,0.5318
281,500985,0.501
282,202550,0.2026
283,171845,0.1718
284,154962,0.155
285,207742,0.2077
286,143986,0.144
287,524804,0.5248
288,151515,0.1515
289,169771,0.1698
290,149324,0.1493
291,210643,0.2106
292,178619,0.1786
293,260044,0.26
294,106919,0.1069
295,136371,0.1364
296,127233,0.1272
297,146148,0.1461
298,382298,0.3823
299,255328,0.2553
300,291723,0.2917
301,236275,0.2363
302,254296,0.2543
303,355959,0.356
304,448587,0.4486
305,143985,0.144
306,136204,0.1362
307,196572,0.1966
308,156968,0.157
309,113713,0.1137
310,279946,0.2799
311,166604,0.1666
312,137672,0.1377
313,135996,0.136
314,106307,0.1063
315,72388,0.0724
316,216919,0.2169
317,128168,0.1282
318,132901,0.1329
319,98929,0.0989
320,125289,0.1253
321,67077,0.0671
322,107756,0.1078
323,87467,0.0875
324,74554,0.0746
325,75416,0.0754
326,98641,0.0986
327,115593,0.1156
328,124709,0.1247
329,89191,0.0892
330,80779,0.0808
331,98808,0.0988
332,99508,0.0995
333,81976,0.082
334,100833,0.1008
335,85952,0.086
336,132235,0.1322
337,113760,0.1138
338,79104,0.0791
339,126778,0.1268
340,86560,0.0866
341,76068,0.0761
342,230125,0.2301
343,345095,0.3451
344,151905,0.1519
345,119590,0.1196
346,100077,0.1001
347,102926,0.1029
348,86895,0.0869
349,102657,0.1027
350,132835,0.1328
351,94163,0.0942
352,62350,0.0624
353,59833,0.0598
354,65051,0.0651
355,55630,0.0556
356,143055,0.1431
357,123165,0.1232
358,151613,0.1516
359,122220,0.1222
360,199289,0.1993
361,105409,0.1054
362,111043,0.111
363,140465,0.1405
364,95748,0.0957
365,74177,0.0742
366,97392,0.0974
367,126794,0.1268
368,122766,0.1228
369,146223,0.1462
370,69749,0.0697
371,119112,0.1191
372,125366,0.1254
373,88591,0.0886
374,139791,0.1398
375,98647,0.0986
376,257456,0.2575
377,179869,0.1799
378,153067,0.1531
379,122716,0.1227
380,195028,0.195
381,141061,0.1411
382,228280,0.2283
383,306200,0.3062
384,139695,0.1397
385,155098,0.1551
386,297097,0.2971
387,138161,0.1382
388,108077,0.1081
389,73756,0.0738
390,284621,0.2846
391,116634,0.1166
392,115438,0.1154
393,113548,0.1135
394,168921,0.1689
395,219886,0.2199
396,155263,0.1553
397,88515,0.0885
398,160363,0.1604
399,192870,0.1929
400,201084,0.2011
401,209640,0.2096
402,95193,0.0952
403,146741,0.1467
404,117823,0.1178
405,179184,0.1792
406,178134,0.1781
407,284997,0.285
408,171286,0.1713
409,157884,0.1579
410,188038,0.188
411,202124,0.2021
412,110744,0.1107
413,66186,0.0662
414,86884,0.0869
415,43745,0.0437
416,47484,0.0475
417,39292,0.0393
418,70103,0.0701
419,70724,0.0707
420,45669,0.0457
421,82238,0.0822
422,38212,0.0382
423,29205,0.0292
424,25750,0.0257
425,24967,0.025
426,58314,0.0583
427,80246,0.0802
428,64714,0.0647
429,39467,0.0395
430,75545,0.0755
431,67258,0.0673
432,213254,0.2133
433,266788,0.2668
434,77018,0.077
435,180544,0.1805
436,73291,0.0733
437,69399,0.0694
438,106511,0.1065
439,94265,0.0943
440,99654,0.0997
441,91582,0.0916
442,58992,0.059
443,236399,0.2364
444,63756,0.0638
445,43671,0.0437
446,79965,0.08
447,128649,0.1286
448,33960,0.034
449,20689,0.0207
450,54751,0.0548
451,19799,0.0198
452,44445,0.0444
453,47923,0.0479
454,14492,0.0145
455,41966,0.042
456,26084,0.0261
457,14624,0.0146
458,14799,0.0148
459,15942,0.0159
460,45765,0.0458
461,90204,0.0902
462,278173,0.2782
463,270309,0.2703
464,114396,0.1144
465,82632,0.0826
466,337397,0.3374
467,136395,0.1364
468,108871,0.1089
469,115322,0.1153
470,109994,0.11
471,123595,0.1236
472,104351,0.1044
473,111133,0.1111
474,133469,0.1335
475,264803,0.2648
476,186265,0.1863
477,187335,0.1873
478,235055,0.2351
479,269878,0.2699
480,276383,0.2764
481,233581,0.2336
482,276345,0.2763
483,183630,0.1836
484,390897,0.3909
485,245925,0.2459
486,297842,0.2978
487,320280,0.3203
488,278785,0.2788
489,533955,0.534
490,348133,0.3481
491,342901,0.3429
492,189707,0.1897
493,199558,0.1996
494,116820,0.1168
495,171368,0.1714
496,144611,0.1446
497,166085,0.1661
498,166495,0.1665
499,161944,0.1619
500,499419,0.4994
501,486255,0.4863
502,445539,0.4455
503,419838,0.4198
504,235336,0.2353
505,515690,0.5157
506,206461,0.2065
507,199981,0.2
508,231613,0.2316
509,201551,0.2016
510,243642,0.2436
511,235893,0.2359
512,204520,0.2045
513,136591,0.1366
514,314368,0.3144
515,205203,0.2052
516,120157,0.1202
517,91645,0.0916
518,116430,0.1164
519,124606,0.1246
520,107138,0.1071
521,111704,0.1117
522,123707,0.1237
523,124258,0.1243
524,123200,0.1232
525,817549,0.8175
526,487965,0.488
527,522872,0.5229
528,569721,0.5697
529,230988,0.231
530,153093,0.1531
531,150840,0.1508
532,161685,0.1617
533,168759,0.1688
534,157527,0.1575
535,118894,0.1189
536,79341,0.0793
537,66368,0.0664
538,70880,0.0709
539,96990,0.097
540,86078,0.0861
541,97187,0.0972
542,109178,0.1092
543,110949,0.1109
544,104376,0.1044
545,107101,0.1071
546,124342,0.1243
547,130066,0.1301
548,152771,0.1528
549,154872,0.1549
550,157157,0.1572
551,292685,0.2927
552,155891,0.1559
553,206183,0.2062
554,265482,0.2655
555,223030,0.223
556,224170,0.2242
557,279248,0.2792
558,239263,0.2393
559,308084,0.3081
560,295749,0.2957
561,295629,0.2956
562,315620,0.3156
563,466011,0.466
564,450696,0.4507
565,274561,0.2746
566,294705,0.2947
567,258101,0.2581
568,379185,0.3792
569,221077,0.2211
570,330745,0.3307
571,105028,0.105
572,133430,0.1334
573,159490,0.1595
574,92442,0.0924
575,121691,0.1217
576,67093,0.0671
577,584798,0.5848
578,484765,0.4848
579,283871,0.2839
580,378098,0.3781
581,359904,0.3599
582,341683,0.3417
583,294185,0.2942
584,193862,0.1939
585,301702,0.3017
586,352849,0.3528
587,603380,0.6034
588,281134,0.2811
589,89760,0.0898
590,87258,0.0873
591,427793,0.4278
592,242455,0.2425
593,262806,0.2628
594,271420,0.2714
595,323545,0.3235
596,310239,0.3102
597,416917,0.4169
598,449093,0.4491
599,281395,0.2814
600,425838,0.4258
601,268465,0.2685
602,491084,0.4911
603,350537,0.3505
604,331200,0.3312
605,203580,0.2036
606,457939,0.4579
607,366300,0.3663
608,510013,0.51
609,264893,0.2649
610,98327,0.0983
611,99616,0.0996
612,89819,0.0898
613,457461,0.4575
614,334691,0.3347
615,511682,0.5117
616,149697,0.1497
617,76756,0.0768
618,57603,0.0576
619,57523,0.0575
620,58921,0.0589
621,49473,0.0495
622,62716,0.0627
623,55832,0.0558
624,47911,0.0479
625,31178,0.0312
626,32514,0.0325
627,26448,0.0264
628,38265,0.0383
629,57105,0.0571
630,46701,0.0467
631,43441,0.0434
632,42434,0.0424
633,41170,0.0412
634,36207,0.0362
635,31016,0.031
636,27743,0.0277
637,46413,0.0464
638,46609,0.0466
639,43699,0.0437
640,49450,0.0495
641,299594,0.2996
642,48316,0.0483
643,40891,0.0409
644,73156,0.0732
645,86531,0.0865
646,89921,0.0899
647,105274,0.1053
648,57386,0.0574
649,44069,0.0441
650,66901,0.0669
651,145708,0.1457
652,87290,0.0873
653,101876,0.1019
654,69951,0.07
655,337575,0.3376
656,50569,0.0506
657,527275,0.5273
658,151227,0.1512
659,226995,0.227
660,305047,0.305
661,242116,0.2421
662,179736,0.1797
663,281206,0.2812
664,202607,0.2026
665,311797,0.3118
666,336924,0.3369
