seq,latency_ns,latency_ms
1,147522,0.1475
2,285114,0.2851
3,579746,0.5797
4,602240,0.6022
5,663937,0.6639
6,222504,0.2225
7,406922,0.4069
8,596104,0.5961
9,207339,0.2073
10,651947,0.6519
11,413629,0.4136
12,621525,0.6215
13,219632,0.2196
14,220129,0.2201
15,482016,0.482
16,558001,0.558
17,615619,0.6156
18,97470,0.0975
19,628051,0.6281
20,759760,0.7598
21,759403,0.7594
22,871660,0.8717
23,867400,0.8674
24,623777,0.6238
25,741726,0.7417
26,645679,0.6457
27,606335,0.6063
28,557979,0.558
29,586589,0.5866
30,862066,0.8621
31,369230,0.3692
32,621186,0.6212
33,417165,0.4172
34,621125,0.6211
35,774350,0.7743
36,503379,0.5034
37,658365,0.6584
38,661352,0.6614
39,702097,0.7021
40,591134,0.5911
41,653071,0.6531
42,654521,0.6545
43,620258,0.6203
44,645515,0.6455
45,506053,0.5061
46,649558,0.6496
47,634739,0.6347
48,566903,0.5669
49,434908,0.4349
50,639878,0.6399
51,599795,0.5998
52,509266,0.5093
53,611508,0.6115
54,233576,0.2336
55,604744,0.6047
56,587784,0.5878
57,603441,0.6034
58,405049,0.405
59,505402,0.5054
60,521122,0.5211
61,636759,0.6368
62,611358,0.6114
63,833639,0.8336
64,566315,0.5663
65,508824,0.5088
66,757573,0.7576
67,700608,0.7006
68,662775,0.6628
69,670467,0.6705
70,200729,0.2007
71,660929,0.6609
72,535860,0.5359
73,637160,0.6372
74,563008,0.563
75,750438,0.7504
76,556825,0.5568
77,503982,0.504
78,621075,0.6211
79,627035,0.627
80,630176,0.6302
81,856718,0.8567
82,608354,0.6084
83,847304,0.8473
84,867675,0.8677
85,806987,0.807
86,642410,0.6424
87,590274,0.5903
88,540412,0.5404
89,570169,0.5702
90,351336,0.3513
91,620347,0.6203
92,356084,0.3561
93,663618,0.6636
94,394255,0.3943
95,447213,0.4472
96,538945,0.5389
97,305197,0.3052
98,152350,0.1524
99,230643,0.2306
100,173189,0.1732
101,473359,0.4734
102,887221,0.8872
103,535852,0.5359
104,885811,0.8858
105,420351,0.4204
106,375164,0.3752
107,700666,0.7007
108,555113,0.5551
109,299390,0.2994
110,616639,0.6166
111,131415,0.1314
112,335056,0.3351
113,438187,0.4382
114,535593,0.5356
115,606523,0.6065
116,664938,0.6649
117,212694,0.2127
118,140295,0.1403
119,328979,0.329
120,470268,0.4703
121,356897,0.3569
122,363777,0.3638
123,321280,0.3213
124,391345,0.3913
125,458702,0.4587
126,657697,0.6577
127,692157,0.6922
128,480467,0.4805
129,637453,0.6375
130,483603,0.4836
131,542355,0.5424
132,596190,0.5962
133,581806,0.5818
134,595512,0.5955
135,321316,0.3213
136,470953,0.471
137,679963,0.68
138,719952,0.72
139,474527,0.4745
140,655083,0.6551
141,611723,0.6117
142,622904,0.6229
143,605006,0.605
144,724492,0.7245
145,659354,0.6594
146,639895,0.6399
147,463699,0.4637
148,615046,0.615
149,537306,0.5373
150,675585,0.6756
151,808078,0.8081
152,637209,0.6372
153,252238,0.2522
154,509329,0.5093
155,442744,0.4427
156,818126,0.8181
157,532382,0.5324
158,554059,0.5541
159,686473,0.6865
160,410892,0.4109
161,487538,0.4875
162,462057,0.4621
163,480311,0.4803
164,440479,0.4405
165,648710,0.6487
166,634271,0.6343
167,558042,0.558
168,583008,0.583
169,526406,0.5264
170,436128,0.4361
171,558714,0.5587
172,613599,0.6136
173,437637,0.4376
174,873578,0.8736
175,509393,0.5094
176,607631,0.6076
177,761436,0.7614
178,803325,0.8033
179,557317,0.5573
180,381338,0.3813
181,709703,0.7097
182,254546,0.2545
183,241355,0.2414
184,210766,0.2108
185,226761,0.2268
186,298803,0.2988
187,247907,0.2479
188,230956,0.231
189,212224,0.2122
190,100685,0.1007
191,282214,0.2822
192,220216,0.2202
193,247199,0.2472
194,295313,0.2953
195,475330,0.4753
196,513634,0.5136
197,664416,0.6644
198,700189,0.7002
199,746232,0.7462
200,640081,0.6401
201,763174,0.7632
202,453549,0.4535
203,501504,0.5015
204,691224,0.6912
205,631811,0.6318
206,582175,0.5822
207,204036,0.204
208,533088,0.5331
209,817060,0.8171
210,106326,0.1063
211,513255,0.5133
212,425495,0.4255
213,487739,0.4877
214,344831,0.3448
215,520952,0.521
216,272583,0.2726
217,502657,0.5027
218,435302,0.4353
219,538006,0.538
220,452911,0.4529
221,375634,0.3756
222,207883,0.2079
223,207635,0.2076
224,347481,0.3475
225,286315,0.2863
226,282640,0.2826
227,127412,0.1274
228,481243,0.4812
229,433344,0.4333
230,610449,0.6104
231,521177,0.5212
232,546096,0.5461
233,687654,0.6877
234,697557,0.6976
235,730027,0.73
236,481639,0.4816
237,401403,0.4014
238,653667,0.6537
239,638994,0.639
240,590519,0.5905
241,634268,0.6343
242,243573,0.2436
243,653192,0.6532
244,481296,0.4813
245,652401,0.6524
246,540618,0.5406
247,615717,0.6157
248,581024,0.581
249,610828,0.6108
250,351564,0.3516
251,405732,0.4057
252,175041,0.175
253,816474,0.8165
254,624721,0.6247
255,522529,0.5225
256,736464,0.7365
257,649546,0.6495
258,614275,0.6143
259,327584,0.3276
260,632775,0.6328
261,421998,0.422
262,360900,0.3609
263,406798,0.4068
264,635257,0.6353
265,571237,0.5712
266,788312,0.7883
267,630707,0.6307
268,531054,0.5311
269,436303,0.4363
270,557591,0.5576
271,535865,0.5359
272,532929,0.5329
273,546351,0.5464
274,611534,0.6115
275,736185,0.7362
276,652778,0.6528
277,447366,0.4474
278,670366,0.6704
279,669357,0.6694
280,174781,0.1748
281,429981,0.43
282,605472,0.6055
283,503501,0.5035
284,685099,0.6851
285,364039,0.364
286,713287,0.7133
287,654891,0.6549
288,671148,0.6711
289,535000,0.535
290,611478,0.6115
291,622061,0.6221
292,704111,0.7041
293,750052,0.7501
294,897510,0.8975
295,756990,0.757
296,605256,0.6053
297,580586,0.5806
298,579309,0.5793
299,523060,0.5231
300,594711,0.5947
301,489307,0.4893
302,202793,0.2028
303,465275,0.4653
304,423407,0.4234
305,794930,0.7949
306,630876,0.6309
307,460868,0.4609
308,650373,0.6504
309,527251,0.5273
310,1018248,1.0182
311,461398,0.4614
312,471795,0.4718
313,147213,0.1472
314,452605,0.4526
315,479620,0.4796
316,731549,0.7315
317,520280,0.5203
318,648035,0.648
319,645692,0.6457
320,740140,0.7401
321,632699,0.6327
322,396867,0.3969
323,618386,0.6184
324,948065,0.9481
325,360930,0.3609
326,85495,0.0855
327,206573,0.2066
328,700184,0.7002
329,510081,0.5101
330,633659,0.6337
331,186678,0.1867
332,351756,0.3518
333,537584,0.5376
334,537108,0.5371
335,797482,0.7975
336,316287,0.3163
337,103689,0.1037
338,881208,0.8812
339,649155,0.6492
340,577845,0.5778
341,608152,0.6082
342,703456,0.7035
343,656069,0.6561
344,484979,0.485
345,679827,0.6798
346,677608,0.6776
347,681584,0.6816
348,317029,0.317
349,630040,0.63
350,460123,0.4601
351,197579,0.1976
352,542682,0.5427
353,631273,0.6313
354,787446,0.7874
355,631403,0.6314
356,580205,0.5802
357,762226,0.7622
358,488310,0.4883
359,520721,0.5207
360,710003,0.71
361,680241,0.6802
362,478164,0.4782
363,607602,0.6076
364,270961,0.271
365,526816,0.5268
366,376337,0.3763
367,459890,0.4599
368,477449,0.4774
369,678244,0.6782
370,412314,0.4123
371,406038,0.406
372,826638,0.8266
373,227627,0.2276
374,442874,0.4429
375,458662,0.4587
376,856493,0.8565
377,437839,0.4378
378,635118,0.6351
379,859997,0.86
380,660343,0.6603
381,650157,0.6502
382,408347,0.4083
383,670877,0.6709
384,438390,0.4384
385,482230,0.4822
386,563988,0.564
387,549681,0.5497
388,384965,0.385
389,529392,0.5294
390,613945,0.6139
391,256520,0.2565
392,378985,0.379
393,456420,0.4564
394,683625,0.6836
395,424912,0.4249
396,513563,0.5136
397,485778,0.4858
398,616156,0.6162
399,382750,0.3827
400,467539,0.4675
401,601404,0.6014
402,700077,0.7001
403,516548,0.5165
404,531738,0.5317
405,722683,0.7227
406,712601,0.7126
407,638842,0.6388
408,628107,0.6281
409,538283,0.5383
410,619489,0.6195
411,490913,0.4909
412,644447,0.6444
413,776605,0.7766
414,643136,0.6431
415,75317,0.0753
416,587669,0.5877
417,337308,0.3373
418,181809,0.1818
419,266894,0.2669
420,431140,0.4311
421,780560,0.7806
422,729300,0.7293
423,773558,0.7736
424,1026992,1.027
425,605821,0.6058
426,534921,0.5349
427,785601,0.7856
428,260802,0.2608
429,409163,0.4092
430,314982,0.315
431,289207,0.2892
432,863173,0.8632
433,781342,0.7813
434,464369,0.4644
435,647246,0.6472
436,208347,0.2083
437,471746,0.4717
438,547864,0.5479
439,641906,0.6419
440,548368,0.5484
441,672013,0.672
442,723957,0.724
443,358264,0.3583
444,617774,0.6178
445,536965,0.537
446,714820,0.7148
447,503282,0.5033
448,471474,0.4715
449,448013,0.448
450,120242,0.1202
451,139769,0.1398
452,327128,0.3271
453,552822,0.5528
454,111351,0.1114
455,417311,0.4173
456,436868,0.4369
457,574463,0.5745
458,772482,0.7725
459,671276,0.6713
460,535197,0.5352
461,620095,0.6201
462,613815,0.6138
463,616713,0.6167
464,1086820,1.0868
465,350038,0.35
466,572886,0.5729
467,440214,0.4402
468,871790,0.8718
469,889193,0.8892
470,518637,0.5186
471,612138,0.6121
472,671280,0.6713
473,556864,0.5569
474,228114,0.2281
475,507478,0.5075
476,455957,0.456
477,720275,0.7203
478,689059,0.6891
479,632810,0.6328
480,595595,0.5956
481,718088,0.7181
482,482264,0.4823
483,712306,0.7123
484,376262,0.3763
485,434645,0.4346
486,611492,0.6115
487,624112,0.6241
488,645088,0.6451
489,657306,0.6573
490,456156,0.4562
491,323471,0.3235
492,550249,0.5502
493,696014,0.696
494,703687,0.7037
495,785156,0.7852
496,384288,0.3843
